"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.060357,-0.044718,0.034937,-5.3143,-7.3787,-0.90627
-0.020508,-0.15039,0.069427,-5.2402,-7.3867,-0.90987
0.02881,-0.14799,0.078669,-5.1425,-7.3863,-0.90878
0.065826,-0.15118,0.065715,-5.0448,-7.3866,-0.90989
0.091193,-0.062699,0.030658,-4.9874,-7.3883,-0.90941
-0.092973,-0.0017625,0.037835,-1.5055,-7.383,-0.91007
-0.19417,0.0011227,0.028075,-1.4469,-7.383,-0.91057
-0.26572,-0.0064847,0.013042,-1.347,-7.3837,-0.90884
-0.31192,-0.017585,0.010019,-1.2452,-7.3841,-0.9082
-0.34335,-0.025651,0.0086331,-1.1442,-7.3842,-0.90804
-0.36434,-0.025555,0.010005,-1.0441,-7.3843,-0.90824
-0.36385,-0.016958,0.011901,-0.94542,-7.3841,-0.90891
-0.20732,0.0072865,-0.022134,-0.85117,-7.3836,-0.91047
-0.10578,0.00032998,-0.078672,-0.79002,-7.3725,-0.90498
-0.014716,-0.045828,0.041705,-5.3249,-7.3056,-0.9106
-0.0052124,-0.2692,0.061922,-5.242,-7.3052,-0.91827
0.01298,-0.28398,0.071974,-5.1428,-7.3048,-0.91634
0.02245,-0.2707,0.067481,-5.0436,-7.3051,-0.91825
0.038139,-0.032137,0.053165,-4.9607,-7.3051,-0.91059
-0.082135,-0.0020012,0.054823,-1.5279,-7.298,-0.90989
-0.17249,-0.0059306,0.040887,-1.4463,-7.3002,-0.91807
-0.24643,-0.022783,0.017685,-1.3463,-7.3012,-0.91548
-0.29509,-0.038705,0.001395,-1.2448,-7.3018,-0.91474
-0.32142,-0.049361,-0.013481,-1.1441,-7.302,-0.9146
-0.33104,-0.051587,-0.022056,-1.0443,-7.3021,-0.91476
-0.29936,-0.030985,-0.04056,-0.94608,-7.3018,-0.91548
-0.18293,0.0055723,-0.071194,-0.85306,-7.3013,-0.91788
-0.10502,0.0049854,-0.099492,-0.78664,-7.2991,-0.9082
0.0023885,-0.22942,0.028323,-5.3254,-7.2054,-0.9089
0.0095674,-0.37585,0.033472,-5.2426,-7.2049,-0.91583
0.014691,-0.39568,0.045458,-5.1431,-7.2047,-0.91335
0.013268,-0.37972,0.050458,-5.0436,-7.2048,-0.91581
-0.0089324,-0.18657,0.036931,-4.9606,-7.2051,-0.909
-0.064022,0.033642,0.058136,-1.527,-7.1998,-0.90841
-0.15915,0.016164,0.050528,-1.4451,-7.201,-0.91536
-0.23833,-0.0062188,0.023938,-1.3455,-7.2019,-0.91189
-0.28846,-0.019445,0.0029441,-1.2445,-7.2025,-0.91084
-0.30829,-0.028192,-0.016523,-1.144,-7.2027,-0.91065
-0.3061,-0.027767,-0.029806,-1.0446,-7.2027,-0.91088
-0.25482,-0.0068389,-0.055479,-0.94684,-7.2026,-0.91189
-0.14799,0.024984,-0.084714,-0.85463,-7.2023,-0.9152
-0.085481,0.034455,-0.099805,-0.78626,-7.2375,-0.90861
0.0094471,-0.36309,0.013219,-5.3257,-7.1034,-0.90825
0.021235,-0.46383,0.018763,-5.2431,-7.1031,-0.91511
0.034004,-0.48379,0.032307,-5.1435,-7.103,-0.91247
0.034796,-0.48269,0.043081,-5.044,-7.1032,-0.91503
-0.0013887,-0.41254,0.052416,-4.9609,-7.1036,-0.90835
-0.068706,0.048328,0.05433,-1.5262,-7.0995,-0.90788
-0.17228,0.018928,0.052886,-1.4441,-7.1003,-0.9145
-0.25264,-0.004866,0.027386,-1.3448,-7.1012,-0.9107
-0.29392,-0.015073,0.0044603,-1.2442,-7.1016,-0.90952
-0.30553,-0.019164,-0.018249,-1.144,-7.1019,-0.9093
-0.29393,-0.015033,-0.04034,-1.0447,-7.1019,-0.90958
-0.23432,0.0068726,-0.070622,-0.94725,-7.1019,-0.91076
-0.13404,0.033423,-0.098082,-0.85523,-7.1017,-0.91443
-0.079903,0.043561,-0.10202,-0.77779,-7.1015,-0.91744
0.020397,-0.45553,0.00079892,-5.326,-7.002,-0.90799
0.03581,-0.5346,0.005887,-5.2435,-7.0019,-0.91489
0.053128,-0.55276,0.020516,-5.1441,-7.0019,-0.9121
0.0464,-0.5606,0.037945,-5.0448,-7.002,-0.91443
-0.0054569,-0.54439,0.067917,-4.9614,-7.0034,-0.90743
-0.082823,0.09369,0.056842,-1.5256,-6.9998,-0.90702
-0.1921,0.039056,0.057588,-1.4432,-6.9996,-0.91385
-0.26279,0.0034283,0.03647,-1.3442,-7.0005,-0.91018
-0.29528,-0.004488,0.018383,-1.2439,-7.001,-0.90903
-0.30091,0.00044638,0.0042906,-1.144,-7.0013,-0.90883
-0.27803,0.019669,-0.018141,-1.0448,-7.0013,-0.90916
-0.21436,0.050052,-0.044779,-0.94743,-7.0013,-0.91043
-0.12048,0.073827,-0.068918,-0.85546,-7.0012,-0.91421
-0.072836,0.077883,-0.068716,-0.77792,-7.0011,-0.91729
0.033805,-0.51873,-0.0099282,-5.3261,-6.9013,-0.90789
0.053297,-0.58495,-0.0051375,-5.2439,-6.9013,-0.91475
0.071662,-0.59824,0.0096683,-5.1448,-6.9013,-0.9117
0.042481,-0.59447,0.036647,-5.046,-6.9007,-0.91322
-0.024194,-0.55589,0.090035,-4.9596,-6.9392,-0.90783
-0.14764,0.12876,0.035005,-1.5278,-6.9356,-0.90747
-0.21522,0.025494,0.0515,-1.4422,-6.8986,-0.9126
-0.25675,-0.023421,0.037373,-1.3436,-6.9001,-0.90967
-0.27662,-0.040891,0.025959,-1.2436,-6.9007,-0.90876
-0.27381,-0.038531,0.020177,-1.1439,-6.901,-0.90863
-0.24409,-0.019602,0.014928,-1.0448,-6.901,-0.909
-0.18283,0.018851,0.010617,-0.94749,-6.901,-0.9103
-0.097345,0.056601,0.0021388,-0.85552,-6.901,-0.91413
-0.044665,0.064839,-0.00021962,-0.77794,-6.901,-0.91723
0.048385,-0.56729,-0.01923,-5.3262,-6.801,-0.90787
0.074509,-0.62132,-0.014885,-5.2441,-6.8011,-0.91463
0.10606,-0.63062,-0.0017986,-5.1451,-6.801,-0.9112
0.10874,-0.62163,0.012176,-5.046,-6.8003,-0.9115
0.007919,-0.53859,0.04899,-4.9466,-6.8005,-0.91326
-0.024423,-0.3237,0.088083,-4.8873,-6.8079,-0.91936
0.10617,-0.24199,0.1035,-4.7441,-6.7837,-0.90611
0.14623,-0.18906,0.10347,-4.6452,-6.7841,-0.90668
0.15976,-0.15414,0.09492,-4.5465,-6.7842,-0.907
0.14707,-0.12643,0.08469,-4.4495,-6.7837,-0.90787
0.11339,-0.058956,0.06266,-4.3889,-6.7826,-0.90947
0.054868,-0.05974,0.086333,-2.1192,-6.7813,-0.92691
0.084621,-0.08765,0.097011,-2.0396,-6.7866,-0.91491
0.11483,-0.091641,0.077237,-1.9417,-6.7853,-0.90956
0.10533,-0.09054,0.060983,-1.8425,-6.7843,-0.90771
0.1874,-0.079607,0.038219,-1.744,-6.7832,-0.90665
-0.095173,0.10148,0.018308,-1.6804,-6.7848,-0.90722
-0.1447,0.12375,0.031959,-1.5422,-6.7974,-0.9131
-0.18438,-0.0078962,0.045935,-1.4421,-6.7986,-0.91083
-0.21688,-0.056459,0.035388,-1.3432,-6.8002,-0.90909
-0.22776,-0.080255,0.026134,-1.2434,-6.8007,-0.90853
-0.21765,-0.087471,0.02065,-1.1438,-6.8009,-0.90851
-0.18806,-0.086156,0.018402,-1.0448,-6.8009,-0.90892
-0.1381,-0.076004,0.020905,-0.94746,-6.8009,-0.91025
-0.068932,-0.066271,0.022788,-0.85548,-6.8009,-0.91408
-0.031628,-0.0711,0.020262,-0.77788,-6.8009,-0.91718
0.063039,-0.61558,-0.027228,-5.3262,-6.7009,-0.90786
0.095951,-0.65225,-0.023485,-5.2441,-6.701,-0.91453
0.15356,-0.66193,-0.012768,-5.145,-6.701,-0.91078
0.16938,-0.6418,5.552e-05,-5.0449,-6.7009,-0.91007
0.17802,-0.59663,0.016948,-4.9455,-6.7003,-0.91095
0.1777,-0.48336,0.043815,-4.8453,-6.7004,-0.91234
0.19169,-0.387,0.069905,-4.7444,-6.7013,-0.9133
0.19605,-0.31917,0.084167,-4.6445,-6.7019,-0.91367
0.17957,-0.26146,0.092116,-4.5453,-6.702,-0.91401
0.14158,-0.20853,0.098039,-4.4481,-6.7014,-0.91507
0.079451,-0.11919,0.09505,-4.3536,-6.7008,-0.91945
0.035318,-0.10052,0.087038,-4.3021,-6.7056,-0.92661
0.031686,-0.16647,0.039707,-2.1346,-6.7076,-0.93624
