"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.051962,-0.020914,-0.0081782,-5.3143,-7.3787,-0.90627
0.12829,0.011664,-0.0075493,-5.2402,-7.3867,-0.90987
0.18647,0.024388,-0.0065428,-5.1425,-7.3863,-0.90878
0.20044,0.018786,0.011872,-5.0448,-7.3866,-0.90989
0.14932,0.00073795,0.035304,-4.9874,-7.3883,-0.90941
-0.063392,0.015363,-0.0038585,-1.5055,-7.383,-0.91007
-0.027847,0.02391,-0.045282,-1.4469,-7.383,-0.91057
0.0011131,0.037941,-0.053159,-1.347,-7.3837,-0.90884
0.037903,0.048577,-0.056488,-1.2452,-7.3841,-0.9082
0.059287,0.056586,-0.052119,-1.1442,-7.3842,-0.90804
0.067622,0.062127,-0.044709,-1.0441,-7.3843,-0.90824
0.061665,0.063162,-0.035221,-0.94542,-7.3841,-0.90891
0.04098,0.059002,-0.024662,-0.85117,-7.3836,-0.91047
0.012169,0.040828,-0.0031255,-0.79002,-7.3725,-0.90498
0.053188,0.0049406,-0.054956,-5.3249,-7.3056,-0.9106
0.13368,0.038917,-0.047542,-5.242,-7.3052,-0.91827
0.17458,0.047683,-0.030855,-5.1428,-7.3048,-0.91634
0.18137,0.036247,0.0011811,-5.0436,-7.3051,-0.91825
0.13842,0.013592,0.047587,-4.9607,-7.3051,-0.91059
-0.052588,0.071893,0.01342,-1.5279,-7.298,-0.90989
-0.042105,0.098193,-0.019696,-1.4463,-7.3002,-0.91807
-0.021803,0.11766,-0.028612,-1.3463,-7.3012,-0.91548
0.01108,0.12573,-0.027229,-1.2448,-7.3018,-0.91474
0.027421,0.1208,-0.025143,-1.1441,-7.302,-0.9146
0.037475,0.10808,-0.024165,-1.0443,-7.3021,-0.91476
0.037275,0.095539,-0.020428,-0.94608,-7.3018,-0.91548
0.028866,0.088522,-0.014131,-0.85306,-7.3013,-0.91788
0.0092735,0.086514,0.0083855,-0.78664,-7.2991,-0.9082
0.056579,0.059027,-0.056154,-5.3254,-7.2054,-0.9089
0.13516,0.076418,-0.047512,-5.2426,-7.2049,-0.91583
0.17148,0.07851,-0.031179,-5.1431,-7.2047,-0.91335
0.17441,0.075284,0.0015859,-5.0436,-7.2048,-0.91581
0.1251,0.060451,0.049715,-4.9606,-7.2051,-0.909
-0.047012,0.07567,0.016616,-1.527,-7.1998,-0.90841
-0.047026,0.10181,-0.0076449,-1.4451,-7.201,-0.91536
-0.031043,0.11437,-0.012604,-1.3455,-7.2019,-0.91189
-0.0032874,0.12086,-0.012265,-1.2445,-7.2025,-0.91084
0.0054442,0.12437,-0.0083035,-1.144,-7.2027,-0.91065
0.0066785,0.1312,-0.0065923,-1.0446,-7.2027,-0.91088
0.0037489,0.13268,-0.0078907,-0.94684,-7.2026,-0.91189
0.014766,0.12246,-0.0090857,-0.85463,-7.2023,-0.9152
0.0080911,0.12108,-0.0095858,-0.78626,-7.2375,-0.90861
0.059922,0.10372,-0.051863,-5.3257,-7.1034,-0.90825
0.12961,0.10535,-0.041935,-5.2431,-7.1031,-0.91511
0.16717,0.10044,-0.026885,-5.1435,-7.103,-0.91247
0.17022,0.10104,0.003645,-5.044,-7.1032,-0.91503
0.11918,0.088968,0.048732,-4.9609,-7.1036,-0.90835
-0.077199,0.075059,0.0389,-1.5262,-7.0995,-0.90788
-0.075863,0.053895,0.02345,-1.4441,-7.1003,-0.9145
-0.046164,0.040298,0.015634,-1.3448,-7.1012,-0.9107
-0.013248,0.081462,0.0014092,-1.2442,-7.1016,-0.90952
-0.00015804,0.10904,-0.00035103,-1.144,-7.1019,-0.9093
0.0021194,0.12776,0.00078148,-1.0447,-7.1019,-0.90958
-0.0073565,0.14427,-0.0016936,-0.94725,-7.1019,-0.91076
-0.0068285,0.14979,-0.0056772,-0.85523,-7.1017,-0.91443
-0.0025162,0.13588,-0.0088096,-0.77779,-7.1015,-0.91744
0.061618,0.12998,-0.048153,-5.326,-7.002,-0.90799
0.12379,0.12422,-0.038526,-5.2435,-7.0019,-0.91489
0.16506,0.11765,-0.0235,-5.1441,-7.0019,-0.9121
0.16959,0.12466,0.0032624,-5.0448,-7.002,-0.91443
0.11975,0.12439,0.046744,-4.9614,-7.0034,-0.90743
-0.05729,0.051456,0.016518,-1.5256,-6.9998,-0.90702
0.027685,-0.080086,0.0017628,-1.4432,-6.9996,-0.91385
0.028888,-0.06167,0.0063486,-1.3442,-7.0005,-0.91018
-0.033596,0.022165,0.012108,-1.2439,-7.001,-0.90903
-0.00014706,0.083792,-0.0087467,-1.144,-7.0013,-0.90883
0.014173,0.12923,-0.0047491,-1.0448,-7.0013,-0.90916
-0.0034241,0.15763,0.0045053,-0.94743,-7.0013,-0.91043
-0.01298,0.17123,0.00028278,-0.85546,-7.0012,-0.91421
-0.013541,0.16341,-0.0079469,-0.77792,-7.0011,-0.91729
0.062648,0.15231,-0.044631,-5.3261,-6.9013,-0.90789
0.11909,0.14256,-0.037097,-5.2439,-6.9013,-0.91475
0.16671,0.13619,-0.023435,-5.1448,-6.9013,-0.9117
0.18451,0.14531,-0.0042058,-5.046,-6.9007,-0.91322
0.15015,0.17009,0.023697,-4.9596,-6.9392,-0.90783
0.22646,-0.10489,-0.067931,-1.5278,-6.9356,-0.90747
0.21559,-0.093523,-0.057136,-1.4422,-6.8986,-0.9126
0.22475,-0.05799,-0.038646,-1.3436,-6.9001,-0.90967
0.21535,-0.0074449,-0.0035412,-1.2436,-6.9007,-0.90876
0.12653,0.049684,0.02349,-1.1439,-6.901,-0.90863
0.040282,0.11403,0.0031546,-1.0448,-6.901,-0.909
0.012981,0.17377,0.0012798,-0.94749,-6.901,-0.9103
-0.010088,0.1971,0.0073396,-0.85552,-6.901,-0.91413
-0.017621,0.18517,-0.0094921,-0.77794,-6.901,-0.91723
0.062965,0.16925,-0.04199,-5.3262,-6.801,-0.90787
0.11666,0.15899,-0.036501,-5.2441,-6.8011,-0.91463
0.16744,0.15186,-0.02591,-5.1451,-6.801,-0.9112
0.20012,0.15653,-0.011077,-5.046,-6.8003,-0.9115
0.18263,0.17907,0.0069883,-4.9466,-6.8005,-0.91326
0.18386,0.17595,-0.001431,-4.8873,-6.8079,-0.91936
-0.014,0.032654,-0.011521,-4.7441,-6.7837,-0.90611
-0.035662,0.032131,-0.02084,-4.6452,-6.7841,-0.90668
-0.061317,0.051648,-0.035602,-4.5465,-6.7842,-0.907
-0.071384,0.049452,-0.040068,-4.4495,-6.7837,-0.90787
-0.04541,0.018706,-0.025934,-4.3889,-6.7826,-0.90947
-0.10866,0.057119,-0.042513,-2.1192,-6.7813,-0.92691
-0.10713,0.037413,-0.040727,-2.0396,-6.7866,-0.91491
-0.020387,0.018957,-0.049933,-1.9417,-6.7853,-0.90956
0.06894,0.01989,-0.059953,-1.8425,-6.7843,-0.90771
0.1804,0.016007,-0.070539,-1.744,-6.7832,-0.90665
0.293,-0.044785,-0.11017,-1.6804,-6.7848,-0.90722
0.34798,-0.080092,-0.086538,-1.5422,-6.7974,-0.9131
0.34671,-0.064881,-0.065243,-1.4421,-6.7986,-0.91083
0.34955,-0.024548,-0.045414,-1.3432,-6.8002,-0.90909
0.33676,0.03131,-0.024002,-1.2434,-6.8007,-0.90853
0.30079,0.087409,0.013895,-1.1438,-6.8009,-0.90851
0.17742,0.12761,0.033278,-1.0448,-6.8009,-0.90892
0.053803,0.17502,0.017046,-0.94746,-6.8009,-0.91025
0.00077031,0.21719,0.013786,-0.85548,-6.8009,-0.91408
-0.016959,0.20521,-0.010495,-0.77788,-6.8009,-0.91718
0.063168,0.18373,-0.039948,-5.3262,-6.7009,-0.90786
0.11378,0.17461,-0.035932,-5.2441,-6.701,-0.91453
0.166,0.16655,-0.027404,-5.145,-6.701,-0.91078
0.19448,0.16152,-0.010579,-5.0449,-6.7009,-0.91007
0.17841,0.16753,-0.00046875,-4.9455,-6.7003,-0.91095
0.17674,0.17046,-0.0018346,-4.8453,-6.7004,-0.91234
0.10073,0.1256,-0.0049956,-4.7444,-6.7013,-0.9133
9.4662e-05,0.074723,-0.0086781,-4.6445,-6.7019,-0.91367
-0.037905,0.090199,-0.021402,-4.5453,-6.702,-0.91401
-0.050798,0.094079,-0.018909,-4.4481,-6.7014,-0.91507
-0.040878,0.058354,0.018612,-4.3536,-6.7008,-0.91945
0.0050829,-0.10958,0.029783,-4.3021,-6.7056,-0.92661
-0.12312,0.094649,-0.0030685,-2.1346,-6.7076,-0.93624
-0.081707,0.0023195,0.01724,-2.0433,-6.7051,-0.92352
-0.010199,-0.011692,0.01624,-1.9431,-6.7035,-0.91658
0.074974,0.012994,0.0092019,-1.8429,-6.7022,-0.9145
0.17554,0.03281,-0.0006091,-1.7429,-6.7007,-0.9136
0.26432,-0.004585,-0.010913,-1.6422,-6.6991,-0.9124
0.32542,-0.026343,-0.0051807,-1.5421,-6.6988,-0.91073
0.34241,-0.013229,0.0031938,-1.4428,-6.6999,-0.90932
0.35093,0.019875,0.014116,-1.3431,-6.7005,-0.90858
0.34669,0.063724,0.022542,-1.2433,-6.7007,-0.90834
0.32681,0.11753,0.032339,-1.1437,-6.7008,-0.90842
0.2848,0.17358,0.054275,-1.0447,-6.7009,-0.90887
0.14825,0.20682,0.047604,-0.94737,-6.7009,-0.91021
0.024301,0.2368,0.027132,-0.85536,-6.7009,-0.91404
-0.012162,0.22811,-0.0077948,-0.77774,-6.7009,-0.91711
0.063585,0.19525,-0.038371,-5.3262,-6.6009,-0.90787
0.11019,0.18801,-0.034787,-5.2441,-6.601,-0.91446
0.16327,0.1805,-0.027008,-5.1449,-6.601,-0.91052
0.18902,0.1733,-0.010872,-5.0443,-6.6011,-0.90932
0.18041,0.17346,-0.0052156,-4.944,-6.6013,-0.90921
0.17994,0.18993,-0.0037046,-4.8439,-6.6017,-0.90945
0.16195,0.1887,-0.000957,-4.7437,-6.6023,-0.90969
0.099129,0.15781,0.009285,-4.6439,-6.6027,-0.90986
0.019392,0.13547,0.0093061,-4.5447,-6.6028,-0.9102
-0.017262,0.13288,0.0064127,-4.4472,-6.6025,-0.9113
-0.042269,0.055978,0.028556,-4.3551,-6.6014,-0.91462
0.031973,-0.17338,0.038068,-4.2775,-6.5999,-0.91656
-0.11402,0.036604,-0.0016462,-2.1387,-6.6057,-0.93553
-0.080713,-0.16985,0.023272,-2.0459,-6.6047,-0.92162
-0.030031,-0.19289,0.020045,-1.9446,-6.6038,-0.91346
0.050128,-0.17139,0.019931,-1.8436,-6.603,-0.9109
0.13042,-0.16079,0.017962,-1.7431,-6.602,-0.91002
0.20995,-0.15679,0.014376,-1.6429,-6.6011,-0.90947
0.2696,-0.13156,0.01394,-1.5429,-6.6006,-0.90894
0.29162,-0.09861,0.017483,-1.443,-6.6006,-0.9085
0.2936,-0.06456,0.022134,-1.3431,-6.6007,-0.90826
0.28816,-0.025301,0.029235,-1.2433,-6.6008,-0.90821
0.28548,0.033487,0.037543,-1.1437,-6.6009,-0.90835
0.27765,0.12845,0.051606,-1.0447,-6.6009,-0.90883
0.22404,0.22449,0.06363,-0.94723,-6.6009,-0.91019
0.073292,0.27033,0.045082,-0.85517,-6.6009,-0.914
-0.0067796,0.26011,-0.00072282,-0.77752,-6.6009,-0.91701
0.063866,0.20413,-0.036442,-5.3262,-6.5009,-0.90787
0.10541,0.19812,-0.032177,-5.2441,-6.5009,-0.91443
0.15902,0.18936,-0.024499,-5.1448,-6.501,-0.9104
0.18512,0.17933,-0.010936,-5.0441,-6.5011,-0.90901
0.18563,0.17714,-0.0055024,-4.9436,-6.5013,-0.9086
0.18653,0.18959,-0.0016519,-4.8434,-6.5015,-0.90851
0.183,0.19881,0.0018444,-4.7434,-6.5018,-0.90852
0.16366,0.19256,0.014569,-4.6436,-6.502,-0.90862
0.10874,0.16597,0.031474,-4.5444,-6.502,-0.90895
0.036423,0.13575,0.033139,-4.4469,-6.502,-0.91006
-0.012331,0.026191,0.049719,-4.3548,-6.5018,-0.91349
0.057809,-0.2097,0.03681,-4.2771,-6.5016,-0.91578
-0.086788,0.027368,-0.0040279,-2.1442,-6.5033,-0.9324
-0.061834,-0.23641,0.019088,-2.0483,-6.5029,-0.92061
-0.034257,-0.27903,0.011631,-1.9459,-6.5025,-0.91247
0.029479,-0.26353,0.011723,-1.8441,-6.5021,-0.90979
0.095118,-0.24233,0.0071067,-1.7434,-6.5017,-0.90891
0.15386,-0.20871,0.0015998,-1.6431,-6.5012,-0.90854
0.19352,-0.14775,-0.0002444,-1.543,-6.501,-0.90831
0.194,-0.089895,0.0027659,-1.443,-6.5009,-0.90816
0.16257,-0.044101,0.0081863,-1.3431,-6.5009,-0.90809
0.13545,-0.0086943,0.014998,-1.2432,-6.5009,-0.90813
0.13558,0.020533,0.020638,-1.1436,-6.5009,-0.90831
0.17076,0.086362,0.030297,-1.0445,-6.5009,-0.90881
0.19996,0.20987,0.052608,-0.94706,-6.5009,-0.91017
0.10892,0.30598,0.054101,-0.85495,-6.5009,-0.91395
-0.0046255,0.30325,0.0061729,-0.77709,-6.5009,-0.91668
0.063133,0.20632,-0.034705,-5.3262,-6.4009,-0.90788
0.10027,0.20145,-0.029061,-5.2441,-6.4009,-0.91441
0.15255,0.1909,-0.021316,-5.1448,-6.4009,-0.91034
0.17878,0.1778,-0.010477,-5.044,-6.401,-0.90889
0.18597,0.17081,-0.0038631,-4.9435,-6.4011,-0.90839
0.19018,0.17164,0.0019133,-4.8432,-6.4012,-0.90821
0.19257,0.17536,0.0082068,-4.7432,-6.4013,-0.90817
0.18439,0.17284,0.018789,-4.6435,-6.4014,-0.90824
0.16095,0.15079,0.036573,-4.5443,-6.4015,-0.90858
0.11313,0.11192,0.049703,-4.4467,-6.4015,-0.9097
0.095113,-0.011778,0.056273,-4.3547,-6.4017,-0.91317
0.066268,-0.19888,0.039879,-4.2768,-6.4019,-0.9152
-0.058007,0.019739,-0.000652,-2.1489,-6.4019,-0.92876
-0.045374,-0.28995,0.020728,-2.0502,-6.4018,-0.91981
-0.033609,-0.34608,0.0089307,-1.9469,-6.4016,-0.91206
0.0098427,-0.33445,0.0073926,-1.8446,-6.4015,-0.90945
0.057501,-0.30664,0.0028038,-1.7435,-6.4013,-0.90858
0.095114,-0.25185,-0.00079404,-1.6431,-6.4011,-0.90824
0.11465,-0.15209,0.0020723,-1.543,-6.401,-0.90808
0.085467,-0.062818,0.010256,-1.443,-6.4009,-0.90801
0.040066,-0.038891,0.015653,-1.343,-6.4009,-0.90801
0.054397,-0.054484,0.014956,-1.2432,-6.4009,-0.90808
0.092713,-0.052099,0.015754,-1.1436,-6.4009,-0.9083
0.1129,0.011908,0.017446,-1.0444,-6.4009,-0.90881
0.15318,0.16445,0.033132,-0.9469,-6.4009,-0.91016
0.1176,0.31961,0.050302,-0.85474,-6.4009,-0.91392
-0.00037083,0.34438,0.010484,-0.77674,-6.4009,-0.9163
0.060869,0.20413,-0.03237,-5.3262,-6.3009,-0.90789
0.093122,0.19954,-0.025211,-5.2441,-6.3009,-0.9144
0.14213,0.1864,-0.017629,-5.1448,-6.3009,-0.91031
0.16633,0.17014,-0.0097504,-5.044,-6.3009,-0.90884
0.17772,0.15669,-0.0026789,-4.9434,-6.301,-0.90831
0.18322,0.145,0.0043077,-4.8432,-6.3011,-0.9081
0.18566,0.13404,0.012865,-4.7432,-6.3011,-0.90804
0.18407,0.12114,0.023061,-4.6434,-6.3012,-0.90811
