"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.054427,-0.019959,-0.0081032,-5.3143,-7.3787,-0.90627
0.13255,0.014671,-0.0080697,-5.2402,-7.3867,-0.90987
0.1951,0.026516,-0.0068875,-5.1425,-7.3863,-0.90878
0.20913,0.020072,0.012231,-5.0448,-7.3866,-0.90989
0.15522,0.00047428,0.036636,-4.9874,-7.3883,-0.90941
-0.055545,0.016128,-0.004182,-1.5055,-7.383,-0.91007
-0.020316,0.021394,-0.041147,-1.4469,-7.383,-0.91057
0.0069499,0.033236,-0.047485,-1.347,-7.3837,-0.90884
0.038431,0.043396,-0.050526,-1.2452,-7.3841,-0.9082
0.057936,0.050289,-0.04749,-1.1442,-7.3842,-0.90804
0.066329,0.054229,-0.041227,-1.0441,-7.3843,-0.90824
0.061198,0.055378,-0.032501,-0.94542,-7.3841,-0.90891
0.039998,0.052698,-0.021862,-0.85117,-7.3836,-0.91047
0.011707,0.034482,-0.0030477,-0.79002,-7.3725,-0.90498
0.057963,0.0060495,-0.056082,-5.3249,-7.3056,-0.9106
0.13874,0.0404,-0.049914,-5.242,-7.3052,-0.91827
0.1833,0.047944,-0.032125,-5.1428,-7.3048,-0.91634
0.1902,0.035671,0.00070193,-5.0436,-7.3051,-0.91825
0.14491,0.011913,0.049505,-4.9607,-7.3051,-0.91059
-0.043712,0.068576,0.01073,-1.5279,-7.298,-0.90989
-0.03095,0.091012,-0.016101,-1.4463,-7.3002,-0.91807
-0.013672,0.107,-0.02119,-1.3463,-7.3012,-0.91548
0.012819,0.11289,-0.021621,-1.2448,-7.3018,-0.91474
0.026097,0.10871,-0.019579,-1.1441,-7.302,-0.9146
0.034225,0.097511,-0.017833,-1.0443,-7.3021,-0.91476
0.034255,0.08491,-0.015798,-0.94608,-7.3018,-0.91548
0.025969,0.078055,-0.010708,-0.85306,-7.3013,-0.91788
0.0059826,0.081887,0.0055377,-0.78664,-7.2991,-0.9082
0.061081,0.065106,-0.056911,-5.3254,-7.2054,-0.9089
0.14068,0.082198,-0.04927,-5.2426,-7.2049,-0.91583
0.17926,0.083395,-0.032812,-5.1431,-7.2047,-0.91335
0.18259,0.078706,0.00073412,-5.0436,-7.2048,-0.91581
0.13122,0.062281,0.05176,-4.9606,-7.2051,-0.909
-0.039187,0.068955,0.013193,-1.527,-7.1998,-0.90841
-0.035483,0.091251,-0.0054587,-1.4451,-7.201,-0.91536
-0.022416,0.1015,-0.0077077,-1.3455,-7.2019,-0.91189
-0.00053328,0.10504,-0.0092153,-1.2445,-7.2025,-0.91084
0.0081724,0.10577,-0.0079424,-1.144,-7.2027,-0.91065
0.010863,0.10524,-0.0048554,-1.0446,-7.2027,-0.91088
