"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-9.2713e-08,4.0161e-07,-1.8277e-07,-5.3143,-7.3787,-0.90627
-1.0153e-07,4.454e-07,-2.521e-07,-5.2402,-7.3867,-0.90987
-1.3638e-07,4.8935e-07,-2.8274e-07,-5.1425,-7.3863,-0.90878
-1.7266e-07,5.1188e-07,-2.8872e-07,-5.0448,-7.3866,-0.90989
-1.5856e-07,5.0945e-07,-1.8282e-07,-4.9874,-7.3883,-0.90941
-1.9081e-06,1.6849e-06,1.5139e-07,-1.5055,-7.383,-0.91007
-2.6832e-06,1.1726e-06,-3.5831e-07,-1.4469,-7.383,-0.91057
-4.0751e-06,1.0817e-06,-4.7184e-07,-1.347,-7.3837,-0.90884
-4.7363e-06,9.331e-07,-4.9716e-07,-1.2452,-7.3841,-0.9082
-4.6523e-06,7.8071e-07,-4.9102e-07,-1.1442,-7.3842,-0.90804
-3.9623e-06,6.405e-07,-4.6676e-07,-1.0441,-7.3843,-0.90824
-2.8353e-06,5.1174e-07,-4.3344e-07,-0.94542,-7.3841,-0.90891
-1.4807e-06,4.4531e-07,-4.3442e-07,-0.85117,-7.3836,-0.91047
-7.4516e-07,-6.0993e-08,-6.9155e-07,-0.79002,-7.3725,-0.90498
7.9436e-08,6.3359e-07,-1.1325e-07,-5.3249,-7.3056,-0.9106
-2.234e-08,6.8209e-07,-1.5109e-07,-5.242,-7.3052,-0.91827
-1.1415e-07,7.2226e-07,-1.7922e-07,-5.1428,-7.3048,-0.91634
-1.7168e-07,7.4246e-07,-1.8378e-07,-5.0436,-7.3051,-0.91825
-2.3733e-07,7.4951e-07,-1.8837e-07,-4.9607,-7.3051,-0.91059
-1.6964e-06,2.6137e-06,6.6719e-07,-1.5279,-7.298,-0.90989
-2.7793e-06,2.2899e-06,9.8889e-09,-1.4463,-7.3002,-0.91807
-4.253e-06,1.9154e-06,-2.1385e-07,-1.3463,-7.3012,-0.91548
-4.9135e-06,1.4461e-06,-3.2495e-07,-1.2448,-7.3018,-0.91474
-4.8118e-06,1.0102e-06,-4.0355e-07,-1.1441,-7.302,-0.9146
-4.1089e-06,6.4811e-07,-4.5322e-07,-1.0443,-7.3021,-0.91476
-3.0019e-06,3.6701e-07,-4.7592e-07,-0.94608,-7.3018,-0.91548
-1.7263e-06,1.8905e-07,-4.9645e-07,-0.85306,-7.3013,-0.91788
-9.974e-07,-9.2813e-08,-9.5315e-07,-0.78664,-7.2991,-0.9082
1.0114e-07,1.1119e-06,-1.1212e-07,-5.3254,-7.2054,-0.9089
-1.5927e-10,1.1402e-06,-1.3572e-07,-5.2426,-7.2049,-0.91583
-8.6755e-08,1.172e-06,-1.6712e-07,-5.1431,-7.2047,-0.91335
-1.4481e-07,1.2018e-06,-1.7201e-07,-5.0436,-7.2048,-0.91581
-2.1944e-07,1.2174e-06,-1.7914e-07,-4.9606,-7.2051,-0.909
-2.0491e-06,4.8871e-06,8.5767e-07,-1.527,-7.1998,-0.90841
-3.3346e-06,4.3532e-06,7.1006e-08,-1.4451,-7.201,-0.91536
-4.9259e-06,3.3984e-06,-1.9873e-07,-1.3455,-7.2019,-0.91189
-5.578e-06,2.3964e-06,-3.5123e-07,-1.2445,-7.2025,-0.91084
-5.3902e-06,1.5213e-06,-4.622e-07,-1.144,-7.2027,-0.91065
-4.5753e-06,8.2666e-07,-5.3359e-07,-1.0446,-7.2027,-0.91088
-3.363e-06,3.2227e-07,-5.6315e-07,-0.94684,-7.2026,-0.91189
-2.0153e-06,1.1343e-08,-5.7836e-07,-0.85463,-7.2023,-0.9152
-1.2051e-06,-1.7682e-07,-1.0973e-06,-0.78626,-7.2375,-0.90861
1.0942e-07,1.5838e-06,-1.1497e-07,-5.3257,-7.1034,-0.90825
2.0525e-08,1.606e-06,-1.3625e-07,-5.2431,-7.1031,-0.91511
-5.1919e-08,1.6404e-06,-1.6698e-07,-5.1435,-7.103,-0.91247
-1.0838e-07,1.694e-06,-1.716e-07,-5.044,-7.1032,-0.91503
