"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.051802,-0.020967,-0.0076339,-5.3143,-7.3787,-0.90627
0.1267,0.011818,-0.0064727,-5.2402,-7.3867,-0.90987
0.18615,0.024015,-0.0056049,-5.1425,-7.3863,-0.90878
0.1988,0.017908,0.012654,-5.0448,-7.3866,-0.90989
0.147,-0.00062542,0.03554,-4.9874,-7.3883,-0.90941
-0.059068,0.0097793,0.0031452,-1.5055,-7.383,-0.91007
-0.042997,0.01939,-0.030999,-1.4469,-7.383,-0.91057
-0.011449,0.028834,-0.047403,-1.347,-7.3837,-0.90884
0.022205,0.035535,-0.050999,-1.2452,-7.3841,-0.9082
0.047461,0.043875,-0.047905,-1.1442,-7.3842,-0.90804
0.061206,0.050405,-0.041814,-1.0441,-7.3843,-0.90824
0.062592,0.053376,-0.034747,-0.94542,-7.3841,-0.90891
0.048927,0.055299,-0.024717,-0.85117,-7.3836,-0.91047
0.017266,0.04229,-0.0023776,-0.79002,-7.3725,-0.90498
0.054929,0.0047135,-0.053781,-5.3249,-7.3056,-0.9106
0.13278,0.037668,-0.047297,-5.242,-7.3052,-0.91827
0.1746,0.045477,-0.030287,-5.1428,-7.3048,-0.91634
0.18035,0.033551,0.0014538,-5.0436,-7.3051,-0.91825
0.13678,0.010574,0.048272,-4.9607,-7.3051,-0.91059
-0.050153,0.039866,0.013081,-1.5279,-7.298,-0.90989
-0.051324,0.068551,-0.013432,-1.4463,-7.3002,-0.91807
-0.034422,0.094742,-0.023309,-1.3463,-7.3012,-0.91548
-0.0078569,0.10703,-0.024297,-1.2448,-7.3018,-0.91474
0.014321,0.10432,-0.023653,-1.1441,-7.302,-0.9146
0.029241,0.096016,-0.022196,-1.0443,-7.3021,-0.91476
0.034824,0.088008,-0.01926,-0.94608,-7.3018,-0.91548
0.034665,0.086022,-0.014176,-0.85306,-7.3013,-0.91788
0.014597,0.094091,0.0093916,-0.78664,-7.2991,-0.9082
0.057721,0.061201,-0.054481,-5.3254,-7.2054,-0.9089
0.13428,0.077198,-0.046187,-5.2426,-7.2049,-0.91583
0.1705,0.07781,-0.030436,-5.1431,-7.2047,-0.91335
0.17295,0.073613,0.0016969,-5.0436,-7.2048,-0.91581
0.12339,0.058352,0.050011,-4.9606,-7.2051,-0.909
-0.050245,0.063569,0.018147,-1.527,-7.1998,-0.90841
-0.059441,0.078709,0.00017231,-1.4451,-7.201,-0.91536
-0.043874,0.085795,-0.0082413,-1.3455,-7.2019,-0.91189
-0.020274,0.096583,-0.012568,-1.2445,-7.2025,-0.91084
-0.008644,0.10138,-0.012019,-1.144,-7.2027,-0.91065
0.00086404,0.10653,-0.011046,-1.0446,-7.2027,-0.91088
0.0068142,0.11148,-0.011796,-0.94684,-7.2026,-0.91189
0.02374,0.11281,-0.0099732,-0.85463,-7.2023,-0.9152
0.017152,0.11648,-0.0039618,-0.78626,-7.2375,-0.90861
0.05994,0.10288,-0.049895,-5.3257,-7.1034,-0.90825
0.12867,0.10367,-0.040358,-5.2431,-7.1031,-0.91511
0.16574,0.097953,-0.025995,-5.1435,-7.103,-0.91247
0.16855,0.098451,0.0038988,-5.044,-7.1032,-0.91503
0.11771,0.086076,0.049035,-4.9609,-7.1036,-0.90835
-0.070172,0.047019,0.033286,-1.5262,-7.0995,-0.90788
-0.060688,0.0015675,0.021062,-1.4441,-7.1003,-0.9145
-0.037671,-0.0085069,0.01442,-1.3448,-7.1012,-0.9107
-0.029273,0.056202,0.0012619,-1.2442,-7.1016,-0.90952
-0.01385,0.08729,-0.0061577,-1.144,-7.1019,-0.9093
-0.0087073,0.10231,-0.0065009,-1.0447,-7.1019,-0.90958
-0.0048906,0.11838,-0.0092331,-0.94725,-7.1019,-0.91076
0.0058094,0.12997,-0.0089673,-0.85523,-7.1017,-0.91443
0.0096789,0.12055,-0.002165,-0.77779,-7.1015,-0.91744
0.06123,0.12804,-0.04647,-5.326,-7.002,-0.90799
0.12301,0.12177,-0.037452,-5.2435,-7.0019,-0.91489
0.1635,0.1156,-0.022931,-5.1441,-7.0019,-0.9121
0.16726,0.12249,0.0037722,-5.0448,-7.002,-0.91443
0.11714,0.12154,0.047028,-4.9614,-7.0034,-0.90743
-0.074197,0.09066,0.0082879,-1.5256,-6.9998,-0.90702
0.081611,-0.10092,-0.018583,-1.4432,-6.9996,-0.91385
0.078226,-0.08212,-0.0014512,-1.3442,-7.0005,-0.91018
-0.027124,0.0057935,0.017765,-1.2439,-7.001,-0.90903
-0.014108,0.068256,-0.0081556,-1.144,-7.0013,-0.90883
-8.5764e-05,0.10822,-0.01639,-1.0448,-7.0013,-0.90916
-0.0026843,0.12937,-0.0091803,-0.94743,-7.0013,-0.91043
-0.0024791,0.14547,-0.0062278,-0.85546,-7.0012,-0.91421
0.001375,0.13816,0.00038268,-0.77792,-7.0011,-0.91729
0.062214,0.15024,-0.043802,-5.3261,-6.9013,-0.90789
0.11913,0.14078,-0.037077,-5.2439,-6.9013,-0.91475
0.16463,0.13518,-0.023585,-5.1448,-6.9013,-0.9117
0.18024,0.14567,-0.0039053,-5.046,-6.9007,-0.91322
0.14387,0.16096,0.024009,-4.9596,-6.9392,-0.90783
0.22943,-0.10901,-0.067667,-1.5278,-6.9356,-0.90747
0.22335,-0.10098,-0.05869,-1.4422,-6.8986,-0.9126
0.23395,-0.064582,-0.040861,-1.3436,-6.9001,-0.90967
0.22756,-0.01434,-0.0108,-1.2436,-6.9007,-0.90876
0.16237,0.040346,0.023592,-1.1439,-6.901,-0.90863
0.03956,0.090886,0.0080399,-1.0448,-6.901,-0.909
0.0063447,0.14374,-0.015819,-0.94749,-6.901,-0.9103
-0.0050979,0.16948,-0.0056411,-0.85552,-6.901,-0.91413
-0.0058424,0.15879,-0.0048316,-0.77794,-6.901,-0.91723
0.063238,0.16944,-0.04211,-5.3262,-6.801,-0.90787
0.11683,0.16029,-0.037892,-5.2441,-6.8011,-0.91463
0.16711,0.15546,-0.025888,-5.1451,-6.801,-0.9112
0.1871,0.16076,-0.0095269,-5.046,-6.8003,-0.9115
0.16894,0.17667,0.0048934,-4.9466,-6.8005,-0.91326
0.13987,0.16405,-0.0037994,-4.8873,-6.8079,-0.91936
-0.081769,-0.024527,0.015331,-4.7441,-6.7837,-0.90611
-0.098324,-0.045484,0.025917,-4.6452,-6.7841,-0.90668
-0.10026,-0.043474,0.021302,-4.5465,-6.7842,-0.907
-0.092283,-0.058231,0.024913,-4.4495,-6.7837,-0.90787
-0.052331,-0.064201,0.025853,-4.3889,-6.7826,-0.90947
-0.11833,0.057503,-0.042248,-2.1192,-6.7813,-0.92691
-0.12559,0.039363,-0.038635,-2.0396,-6.7866,-0.91491
-0.043331,0.016579,-0.049159,-1.9417,-6.7853,-0.90956
0.051223,0.014995,-0.057976,-1.8425,-6.7843,-0.90771
0.17127,0.012674,-0.066683,-1.744,-6.7832,-0.90665
0.28315,-0.045034,-0.10123,-1.6804,-6.7848,-0.90722
0.34336,-0.083292,-0.076248,-1.5422,-6.7974,-0.9131
0.34241,-0.069986,-0.055436,-1.4421,-6.7986,-0.91083
0.34799,-0.029952,-0.036127,-1.3432,-6.8002,-0.90909
0.34008,0.025666,-0.018316,-1.2434,-6.8007,-0.90853
0.31702,0.082447,0.010891,-1.1438,-6.8009,-0.90851
0.22469,0.12671,0.040486,-1.0448,-6.8009,-0.90892
0.069499,0.15195,0.014651,-0.94746,-6.8009,-0.91025
0.0017007,0.18956,-0.0015601,-0.85548,-6.8009,-0.91408
-0.0072065,0.18186,-0.010951,-0.77788,-6.8009,-0.91718
0.064699,0.18726,-0.041301,-5.3262,-6.7009,-0.90786
0.11469,0.17975,-0.038632,-5.2441,-6.701,-0.91453
0.1677,0.17515,-0.026958,-5.145,-6.701,-0.91078
0.18228,0.17278,-0.011404,-5.0449,-6.7009,-0.91007
0.16189,0.17582,0.001251,-4.9455,-6.7003,-0.91095
0.13635,0.16422,0.002836,-4.8453,-6.7004,-0.91234
0.026891,0.053018,0.020906,-4.7444,-6.7013,-0.9133
-0.099471,-0.042511,0.024404,-4.6445,-6.7019,-0.91367
-0.104,-0.042624,0.0072549,-4.5453,-6.702,-0.91401
-0.10077,-0.070697,0.0033258,-4.4481,-6.7014,-0.91507
-0.058529,-0.10704,0.0066741,-4.3536,-6.7008,-0.91945
-0.043979,-0.10248,0.0079962,-4.3021,-6.7056,-0.92661
-0.13254,0.10254,-0.0023666,-2.1346,-6.7076,-0.93624
-0.10601,0.017541,0.020541,-2.0433,-6.7051,-0.92352
-0.027798,-0.021608,0.017729,-1.9431,-6.7035,-0.91658
0.056462,-0.0033572,0.013285,-1.8429,-6.7022,-0.9145
0.15604,0.011937,0.0063989,-1.7429,-6.7007,-0.9136
0.24931,-0.027574,-0.0036668,-1.6422,-6.6991,-0.9124
0.31149,-0.052124,0.00072652,-1.5421,-6.6988,-0.91073
0.32821,-0.040377,0.0072782,-1.4428,-6.6999,-0.90932
0.33705,-0.0091313,0.015665,-1.3431,-6.7005,-0.90858
0.33545,0.03484,0.024,-1.2433,-6.7007,-0.90834
0.32244,0.091102,0.03151,-1.1437,-6.7008,-0.90842
0.29229,0.15576,0.050898,-1.0447,-6.7009,-0.90887
0.18652,0.20064,0.05404,-0.94737,-6.7009,-0.91021
0.036078,0.21978,0.018981,-0.85536,-6.7009,-0.91404
-0.0039315,0.21395,-0.0090929,-0.77774,-6.7009,-0.91711
0.066439,0.20461,-0.040938,-5.3262,-6.6009,-0.90787
0.11203,0.19898,-0.038617,-5.2441,-6.601,-0.91446
0.16663,0.19522,-0.026508,-5.1449,-6.601,-0.91052
0.17562,0.19066,-0.012681,-5.0443,-6.6011,-0.90932
0.15499,0.18984,-0.001787,-4.944,-6.6013,-0.90921
0.12766,0.18781,0.0043748,-4.8439,-6.6017,-0.90945
0.044607,0.099993,0.02635,-4.7437,-6.6023,-0.90969
-0.083667,0.025039,0.0048519,-4.6439,-6.6027,-0.90986
-0.10698,0.0035184,-0.022884,-4.5447,-6.6028,-0.9102
-0.10683,-0.049311,-0.021712,-4.4472,-6.6025,-0.9113
-0.067499,-0.12359,-0.012063,-4.3551,-6.6014,-0.91462
-0.048374,-0.13999,-0.0085456,-4.2775,-6.5999,-0.91656
-0.11835,0.057609,-0.0011941,-2.1387,-6.6057,-0.93553
-0.099597,-0.13768,0.023415,-2.0459,-6.6047,-0.92162
-0.046973,-0.19877,0.018662,-1.9446,-6.6038,-0.91346
0.03082,-0.18826,0.019195,-1.8436,-6.603,-0.9109
0.1114,-0.17858,0.01737,-1.7431,-6.602,-0.91002
0.18981,-0.1744,0.014321,-1.6429,-6.6011,-0.90947
0.24392,-0.15052,0.012758,-1.5429,-6.6006,-0.90894
0.26641,-0.11226,0.013628,-1.443,-6.6006,-0.9085
0.26582,-0.07214,0.015957,-1.3431,-6.6007,-0.90826
0.2573,-0.032851,0.02057,-1.2433,-6.6008,-0.90821
0.25411,0.017888,0.027635,-1.1437,-6.6009,-0.90835
0.25905,0.10683,0.042087,-1.0447,-6.6009,-0.90883
0.22282,0.20866,0.06047,-0.94723,-6.6009,-0.91019
0.082724,0.26106,0.039853,-0.85517,-6.6009,-0.914
-0.0025672,0.25487,-0.0031389,-0.77752,-6.6009,-0.91701
0.067801,0.22025,-0.040575,-5.3262,-6.5009,-0.90787
0.10913,0.21626,-0.037639,-5.2441,-6.5009,-0.91443
0.16416,0.21277,-0.025158,-5.1448,-6.501,-0.9104
0.16928,0.20769,-0.01361,-5.0441,-6.5011,-0.90901
0.14924,0.20709,-0.0055252,-4.9436,-6.5013,-0.9086
0.11634,0.21718,-0.00024899,-4.8434,-6.5015,-0.90851
0.045277,0.16217,0.025897,-4.7434,-6.5018,-0.90852
-0.076986,0.10423,-0.0050439,-4.6436,-6.502,-0.90862
-0.10638,0.07529,-0.028439,-4.5444,-6.502,-0.90895
-0.11617,-0.0065888,-0.020083,-4.4469,-6.502,-0.91006
-0.071793,-0.13682,-0.011104,-4.3548,-6.5018,-0.91349
-0.051147,-0.17613,-0.010663,-4.2771,-6.5016,-0.91578
-0.091642,0.061357,0.0013096,-2.1442,-6.5033,-0.9324
-0.079184,-0.18032,0.015745,-2.0483,-6.5029,-0.92061
-0.051256,-0.27511,0.010369,-1.9459,-6.5025,-0.91247
0.0089357,-0.27674,0.011054,-1.8441,-6.5021,-0.90979
0.072563,-0.25624,0.0078061,-1.7434,-6.5017,-0.90891
0.12951,-0.22496,0.0038472,-1.6431,-6.5012,-0.90854
0.16736,-0.16509,0.0021251,-1.543,-6.501,-0.90831
0.16864,-0.09388,0.0038665,-1.443,-6.5009,-0.90816
0.13454,-0.04232,0.0082336,-1.3431,-6.5009,-0.90809
0.10989,-0.009351,0.014162,-1.2432,-6.5009,-0.90813
0.11172,0.016466,0.017786,-1.1436,-6.5009,-0.90831
0.14136,0.072638,0.022668,-1.0445,-6.5009,-0.90881
0.18518,0.19238,0.045987,-0.94706,-6.5009,-0.91017
0.11242,0.2995,0.049752,-0.85495,-6.5009,-0.91395
-0.0020116,0.30538,0.0038311,-0.77709,-6.5009,-0.91668
0.068501,0.23362,-0.039954,-5.3262,-6.4009,-0.90788
0.10625,0.23033,-0.035457,-5.2441,-6.4009,-0.91441
0.16121,0.22819,-0.021997,-5.1448,-6.4009,-0.91034
0.16505,0.22454,-0.0125,-5.044,-6.401,-0.90889
0.15088,0.22749,-0.0069898,-4.9435,-6.4011,-0.90839
0.11982,0.24764,-0.0026886,-4.8432,-6.4012,-0.90821
0.068719,0.238,0.029006,-4.7432,-6.4013,-0.90817
-0.042154,0.19603,0.010789,-4.6435,-6.4014,-0.90824
-0.086771,0.15392,-0.0065253,-4.5443,-6.4015,-0.90858
-0.10962,0.0025727,5.7622e-05,-4.4467,-6.4015,-0.9097
-0.052903,-0.18931,-0.0012393,-4.3547,-6.4017,-0.91317
-0.047269,-0.2358,-0.0079548,-4.2768,-6.4019,-0.9152
-0.068254,0.065492,0.0020525,-2.1489,-6.4019,-0.92876
-0.065872,-0.21505,0.014087,-2.0502,-6.4018,-0.91981
-0.053894,-0.33491,0.0075316,-1.9469,-6.4016,-0.91206
-0.011587,-0.34597,0.0070535,-1.8446,-6.4015,-0.90945
0.034575,-0.32046,0.0042756,-1.7435,-6.4013,-0.90858
0.072958,-0.27142,0.002194,-1.6431,-6.4011,-0.90824
0.094095,-0.17181,0.0054829,-1.543,-6.401,-0.90808
0.073558,-0.067007,0.011465,-1.443,-6.4009,-0.90801
0.033625,-0.046778,0.01385,-1.343,-6.4009,-0.90801
0.052733,-0.063656,0.012221,-1.2432,-6.4009,-0.90808
0.09423,-0.061761,0.012788,-1.1436,-6.4009,-0.9083
0.11487,-0.0028017,0.014327,-1.0444,-6.4009,-0.90881
0.14071,0.14006,0.027282,-0.9469,-6.4009,-0.91016
0.11198,0.30338,0.046729,-0.85474,-6.4009,-0.91392
0.001203,0.34562,0.0079646,-0.77674,-6.4009,-0.9163
0.068301,0.24225,-0.038018,-5.3262,-6.3009,-0.90789
0.10298,0.23786,-0.031533,-5.2441,-6.3009,-0.9144
0.15862,0.23387,-0.018528,-5.1448,-6.3009,-0.91031
0.16576,0.23073,-0.0088485,-5.044,-6.3009,-0.90884
0.15872,0.23384,-0.0048224,-4.9434,-6.301,-0.90831
0.13545,0.25721,0.00048041,-4.8432,-6.3011,-0.9081
0.10377,0.27472,0.034916,-4.7432,-6.3011,-0.90804
0.012583,0.25226,0.03741,-4.6434,-6.3012,-0.90811
-0.056128,0.18306,0.015864,-4.5442,-6.3012,-0.90846
-0.06328,-0.031834,0.020994,-4.4466,-6.3014,-0.9096
-0.0050317,-0.24109,0.01001,-4.3546,-6.3017,-0.91309
-0.029967,-0.28183,-0.0044076,-4.2767,-6.3022,-0.91499
-0.04758,0.071553,0.0028468,-2.1498,-6.3013,-0.92718
-0.057024,-0.22906,0.012883,-2.0514,-6.3012,-0.91931
-0.057839,-0.37225,0.0064051,-1.9476,-6.3012,-0.91182
-0.030049,-0.39226,0.0051859,-1.8449,-6.3011,-0.9093
0.0022054,-0.36288,0.0029776,-1.7437,-6.3011,-0.90845
0.026158,-0.29848,0.002705,-1.6432,-6.301,-0.90813
0.039794,-0.16476,0.010689,-1.543,-6.301,-0.90799
0.020366,-0.060814,0.014548,-1.443,-6.3009,-0.90795
0.012369,-0.10429,0.0074389,-1.343,-6.3009,-0.90797
0.051966,-0.13977,0.0014906,-1.2432,-6.3009,-0.90807
0.097521,-0.13789,0.0043255,-1.1435,-6.3009,-0.9083
0.12996,-0.061574,0.013843,-1.0444,-6.301,-0.90883
0.13318,0.097589,0.020733,-0.94679,-6.301,-0.91019
0.10653,0.30297,0.04124,-0.85458,-6.301,-0.91392
0.003018,0.38683,0.011243,-0.77666,-6.3009,-0.91619
0.06736,0.24176,-0.036328,-5.3262,-6.2009,-0.90789
0.099918,0.23711,-0.027649,-5.244,-6.2009,-0.9144
0.15405,0.231,-0.014414,-5.1447,-6.2009,-0.9103
0.16807,0.22609,-0.003198,-5.044,-6.2009,-0.90881
0.16766,0.22478,0.00086721,-4.9434,-6.2009,-0.90827
0.1562,0.23834,0.0070598,-4.8432,-6.201,-0.90805
0.14109,0.26293,0.03812,-4.7431,-6.201,-0.90799
0.087266,0.25626,0.060888,-4.6434,-6.201,-0.90807
0.0081743,0.1817,0.045388,-4.5442,-6.2011,-0.90842
0.028214,-0.028724,0.044132,-4.4465,-6.2013,-0.90957
0.051585,-0.25669,0.022171,-4.3544,-6.2017,-0.91308
-0.0063204,-0.29259,0.00068032,-4.2766,-6.2024,-0.91491
-0.032801,0.076374,0.004078,-2.1505,-6.201,-0.92575
-0.05258,-0.23174,0.011902,-2.0521,-6.201,-0.91888
-0.062337,-0.39583,0.0062348,-1.9481,-6.201,-0.91164
-0.046047,-0.42502,0.0045383,-1.8452,-6.201,-0.90921
-0.023876,-0.39416,0.0027629,-1.7438,-6.201,-0.90838
-0.008191,-0.32065,0.0040277,-1.6432,-6.201,-0.90807
0.0061884,-0.17265,0.014213,-1.543,-6.2009,-0.90795
-0.0038062,-0.086974,0.012839,-1.443,-6.2009,-0.90792
-0.013936,-0.14483,-0.0029649,-1.343,-6.2009,-0.90796
0.016954,-0.18399,-0.00855,-1.2432,-6.201,-0.90809
0.055382,-0.18529,-0.0015505,-1.1435,-6.201,-0.90835
0.065487,-0.10443,0.013066,-1.0444,-6.201,-0.90892
0.093898,0.062105,0.017378,-0.94676,-6.2011,-0.9103
0.080096,0.29735,0.035665,-0.85449,-6.2012,-0.91403
-0.0064413,0.40018,0.011491,-0.77659,-6.2011,-0.91626
0.064466,0.23512,-0.03357,-5.3262,-6.1009,-0.90789
0.094028,0.22885,-0.023101,-5.244,-6.1009,-0.9144
0.14503,0.21802,-0.010299,-5.1447,-6.1009,-0.9103
0.16306,0.20796,0.0013828,-5.044,-6.1009,-0.9088
0.16793,0.19812,0.0080722,-4.9434,-6.1009,-0.90826
0.165,0.19282,0.013998,-4.8432,-6.1009,-0.90803
0.16373,0.2005,0.035232,-4.7431,-6.1009,-0.90797
0.15461,0.19551,0.063748,-4.6434,-6.101,-0.90805
0.11957,0.12977,0.069078,-4.5441,-6.1011,-0.90841
0.13797,-0.05258,0.060608,-4.4464,-6.1013,-0.90958
0.097251,-0.2334,0.029401,-4.3542,-6.1017,-0.91312
0.03011,-0.24879,0.011739,-4.2764,-6.1023,-0.91488
-0.021977,0.07994,0.0051822,-2.1508,-6.1009,-0.92442
-0.049689,-0.22494,0.010105,-2.0526,-6.1009,-0.91848
-0.066251,-0.40828,0.0062164,-1.9484,-6.1009,-0.91149
-0.059086,-0.44815,0.0043884,-1.8454,-6.1009,-0.90913
-0.04363,-0.41765,0.0028928,-1.7439,-6.1009,-0.90834
-0.031781,-0.34006,0.0046636,-1.6432,-6.1009,-0.90804
-0.015238,-0.19127,0.014302,-1.543,-6.1009,-0.90793
-0.025279,-0.10163,0.0095238,-1.443,-6.1009,-0.90792
-0.051699,-0.15169,-0.010173,-1.343,-6.101,-0.90798
-0.038282,-0.19397,-0.015301,-1.2432,-6.101,-0.90814
-0.027883,-0.20405,-0.007835,-1.1435,-6.1011,-0.90848
-0.053475,-0.13678,0.0092776,-1.0445,-6.1013,-0.90918
0.025972,0.036295,0.020466,-0.9469,-6.1017,-0.91074
0.023549,0.28406,0.030039,-0.85449,-6.1021,-0.91446
-0.031927,0.38038,0.0090559,-0.77651,-6.1022,-0.9166
0.059738,0.22222,-0.030114,-5.3262,-6.0009,-0.90789
0.085232,0.21458,-0.018634,-5.244,-6.0009,-0.91439
0.13075,0.19865,-0.006331,-5.1447,-6.0009,-0.91029
0.14747,0.18305,0.0041869,-5.044,-6.0009,-0.9088
0.15383,0.16364,0.0134,-4.9434,-6.0009,-0.90825
0.15314,0.14044,0.020459,-4.8432,-6.0009,-0.90803
0.1539,0.11881,0.03211,-4.7431,-6.0009,-0.90796
0.16222,0.093356,0.049811,-4.6434,-6.0009,-0.90804
0.17176,0.020915,0.061512,-4.5441,-6.001,-0.9084
0.15725,-0.12215,0.047146,-4.4464,-6.0012,-0.90958
0.1073,-0.21663,0.025328,-4.3541,-6.0015,-0.91313
0.032655,-0.19689,0.019434,-4.2764,-6.0021,-0.91486
-0.015246,0.083322,0.0038296,-2.151,-6.0008,-0.92312
-0.047041,-0.20417,0.007294,-2.0529,-6.0008,-0.91811
-0.069089,-0.41241,0.0063386,-1.9485,-6.0009,-0.91134
-0.069033,-0.46494,0.0045368,-1.8454,-6.0009,-0.90907
-0.057755,-0.43661,0.0030761,-1.7439,-6.0009,-0.9083
-0.048059,-0.3598,0.0042784,-1.6432,-6.0009,-0.90802
-0.02965,-0.21451,0.012929,-1.543,-6.0009,-0.90792
-0.03687,-0.098434,0.010658,-1.4429,-6.0009,-0.90793
-0.081426,-0.12882,-0.012937,-1.343,-6.001,-0.90802
-0.094188,-0.1653,-0.021972,-1.2432,-6.0011,-0.90825
-0.10487,-0.17605,-0.015562,-1.1436,-6.0013,-0.90876
-0.14171,-0.11461,0.0026165,-1.0448,-6.0019,-0.90991
-0.12474,0.067403,0.016128,-0.94779,-6.0036,-0.91222
-0.082351,0.23831,0.019171,-0.85505,-6.0062,-0.91607
-0.076047,0.28647,0.0069603,-0.7767,-6.0085,-0.91761
0.053807,0.20498,-0.025778,-5.3262,-5.9009,-0.90789
0.07456,0.19662,-0.014138,-5.244,-5.9009,-0.91439
0.11261,0.17707,-0.0019097,-5.1447,-5.9009,-0.91029
0.1245,0.15684,0.0076502,-5.044,-5.9009,-0.9088
0.12751,0.12961,0.018368,-4.9434,-5.9009,-0.90825
