"Points:0","Points:1","Points:2","U:0","U:1","U:2"
-4.7476,4.2411,0.45409,0.049843,-0.0030434,-0.15668
-4.7489,4.1476,0.55437,0.059226,0.059687,-0.15888
-4.8479,4.5575,0.25009,0.031657,0.035161,0.052941
-4.8474,4.4612,0.35056,0.021381,0.0087758,-0.072076
-4.8479,4.3525,0.4524,0.020694,0.010614,-0.15119
-4.8488,4.2492,0.55653,0.02985,-0.0017766,-0.18343
-4.8495,4.1558,0.65696,0.038953,0.075957,-0.1978
-4.9493,4.5575,0.3501,0.011783,0.025172,0.058591
-4.9492,4.4622,0.45085,0.0043287,0.0014749,-0.09062
-4.9493,4.3574,0.55364,0.0037531,-0.002013,-0.17355
-4.9496,4.2623,0.66186,0.0079228,-0.0016797,-0.20517
-4.9498,4.1669,0.76485,0.014892,0.073127,-0.20275
-4.244,4.0557,0.050183,0.18457,-0.11127,-0.02497
-4.1333,4.1674,0.050199,0.17743,-0.10095,-0.037791
-4.2307,4.2641,0.050161,0.17897,-0.050421,-0.052392
-4.2343,4.1648,0.15034,0.19962,-0.070228,-0.030877
-4.3348,4.3493,0.050162,0.15916,0.019361,-0.044746
-4.3337,4.2562,0.15046,0.1505,-0.01503,-0.088538
-4.3416,4.1546,0.25052,0.18305,0.0077906,-0.053565
-4.4317,4.436,0.050105,0.13623,0.044883,-0.030987
-4.4368,4.3428,0.15049,0.12024,0.01982,-0.077946
-4.4393,4.2443,0.25104,0.12067,-0.0041435,-0.11286
-4.4446,4.1472,0.35162,0.1245,0.024222,-0.072072
-4.5443,4.544,0.050137,0.12002,0.048112,-0.0058602
-4.5356,4.4409,0.1503,0.098849,0.031611,-0.043297
-4.5397,4.3417,0.25096,0.087608,0.021737,-0.11072
-4.5429,4.2391,0.35229,0.093323,-0.0027109,-0.12765
-4.546,4.1447,0.45352,0.097045,0.039332,-0.10408
-4.6466,4.552,0.15028,0.08773,0.041892,0.032088
-4.6416,4.452,0.25047,0.063766,0.019635,-0.066859
-4.6432,4.3455,0.3517,0.057965,0.017459,-0.12961
-4.6458,4.2406,0.45437,0.068408,-0.0036677,-0.14868
-4.648,4.1476,0.55472,0.076766,0.056874,-0.14888
-4.7462,4.5563,0.25014,0.058816,0.034385,0.04666
-4.7449,4.4589,0.35066,0.036143,0.007773,-0.075436
-4.7459,4.3507,0.45276,0.034234,0.010935,-0.1454
-4.7477,4.2481,0.55735,0.047399,-7.9079e-05,-0.17274
-4.7492,4.1553,0.65765,0.062027,0.076392,-0.18582
-4.8476,4.5577,0.35011,0.028579,0.026806,0.056275
-4.8473,4.4621,0.45097,0.015918,-0.0007841,-0.083609
-4.8478,4.3565,0.55415,0.017741,0.0031026,-0.15819
-4.8487,4.261,0.66252,0.028222,0.0099218,-0.19126
-4.8493,4.1661,0.76428,0.041056,0.083055,-0.18968
-4.9492,4.5577,0.45017,0.010949,0.017977,0.053152
-4.9492,4.4636,0.55143,0.0025615,-0.002026,-0.093137
-4.9493,4.3627,0.65616,0.0022303,-0.005424,-0.17683
-4.9495,4.2692,0.76493,0.0055733,0.0053902,-0.20139
-4.9498,4.056,0.75568,0.022112,0.076829,-0.10488
-4.9496,4.1697,0.86438,0.0056159,-0.016144,-0.20394
-4.2518,3.9505,0.050239,0.13019,-0.075489,-0.019562
-4.1405,4.064,0.050216,0.12603,-0.12028,-0.028143
-4.2447,4.0575,0.15041,0.17174,-0.10084,-0.033766
-4.0394,4.1627,0.050292,0.17351,-0.087254,-0.043005
-4.1343,4.2628,0.050225,0.17843,-0.047191,-0.051138
-4.1339,4.1671,0.15063,0.16486,-0.087614,-0.057724
-4.2342,4.3549,0.050188,0.17418,0.009228,-0.041195
-4.231,4.2634,0.15052,0.15865,-0.046014,-0.089965
-4.2345,4.1646,0.25061,0.18722,-0.06439,-0.078665
-4.3335,4.4415,0.050132,0.15273,0.037257,-0.028263
-4.3346,4.3491,0.15052,0.13895,0.012614,-0.077177
-4.3333,4.2559,0.25091,0.13994,-0.017546,-0.1187
-4.3413,4.1547,0.35089,0.17576,0.010572,-0.08933
-4.4338,4.5353,0.050074,0.13526,0.051509,-0.0061819
-4.4318,4.4366,0.15033,0.11819,0.026783,-0.046114
-4.4364,4.343,0.25098,0.10572,0.014462,-0.11068
-4.439,4.245,0.35205,0.1136,-0.012536,-0.12928
-4.445,4.1483,0.45267,0.11961,0.030977,-0.10717
-4.5425,4.5447,0.15024,0.11215,0.040188,0.026816
-4.5352,4.4416,0.25052,0.083495,0.013428,-0.073877
-4.5394,4.3426,0.35178,0.07702,0.012442,-0.12841
-4.543,4.2418,0.45432,0.089186,-0.0066178,-0.14355
-4.5468,4.1485,0.55442,0.098407,0.051218,-0.14284
-4.6452,4.5525,0.25019,0.08077,0.033024,0.038873
-4.6412,4.4526,0.35076,0.052301,0.0027246,-0.0821
-4.6431,4.3476,0.453,0.051157,0.0073986,-0.14195
-4.6459,4.2474,0.55771,0.065643,-0.0012173,-0.16372
-4.6486,4.1552,0.65789,0.081571,0.073107,-0.17673
-4.7457,4.5565,0.35014,0.052647,0.025747,0.049095
-4.7447,4.4598,0.4511,0.027831,-0.0035881,-0.088011
-4.7458,4.3546,0.55458,0.029046,0.002825,-0.15273
-4.7476,4.2598,0.66298,0.04318,0.011984,-0.17982
-4.7488,4.1655,0.76416,0.065577,0.083538,-0.1775
-4.8475,4.5579,0.45019,0.025102,0.018694,0.052074
-4.8473,4.4635,0.55156,0.011198,-0.0054571,-0.084753
-4.8477,4.3619,0.65647,0.014652,-0.00027439,-0.15371
-4.8485,4.268,0.76472,0.024853,0.017468,-0.18299
-4.8495,4.0577,0.75499,0.05113,0.087615,-0.092773
-4.8487,4.169,0.8638,0.02645,-0.0067335,-0.18725
-4.9492,4.558,0.55028,0.01088,0.011282,0.046329
-4.9492,4.4652,0.65212,0.0011936,-0.0027881,-0.091908
-4.9492,4.3662,0.75719,0.00047544,-0.0095056,-0.17318
-4.9494,4.2679,0.86078,0.0018704,-0.023706,-0.19777
-4.9497,3.9505,0.7481,0.025339,0.013772,-0.08948
-4.9497,4.0649,0.85852,0.010804,-0.012389,-0.16059
-4.9494,4.1654,0.95772,0.003679,-0.037138,-0.20754
-4.256,3.8512,0.050193,0.075804,-0.028679,-0.010384
-4.1528,3.9568,0.050255,0.074253,-0.1155,-0.022485
-4.2525,3.9535,0.15058,0.11143,-0.071176,-0.028525
-4.0444,4.061,0.050309,0.13222,-0.11848,-0.031707
-4.1415,4.0646,0.15066,0.11315,-0.11293,-0.046055
-4.245,4.0581,0.25061,0.14993,-0.11762,-0.079532
-3.9431,4.1599,0.050353,0.17927,-0.075519,-0.039398
-4.0384,4.2607,0.050288,0.17952,-0.040796,-0.044559
-4.0396,4.1626,0.15093,0.15629,-0.085004,-0.059349
-4.1363,4.3569,0.050231,0.17976,-0.0014285,-0.034786
-4.1345,4.2626,0.15072,0.15341,-0.056617,-0.078855
-4.1341,4.1671,0.25122,0.15337,-0.093347,-0.090867
-4.236,4.4474,0.050167,0.16482,0.02546,-0.023456
-4.2343,4.3547,0.1506,0.15073,-0.0066711,-0.064169
-4.231,4.2632,0.25102,0.14395,-0.061695,-0.11008
-4.2343,4.1647,0.35107,0.17759,-0.078036,-0.10106
-4.3329,4.5354,0.050088,0.14121,0.041538,-0.0045227
-4.3337,4.4416,0.15042,0.13363,0.015385,-0.038348
-4.3344,4.3491,0.25102,0.12066,-0.0029194,-0.10378
-4.3331,4.2563,0.35174,0.13381,-0.031913,-0.1299
-4.3414,4.1555,0.45116,0.16805,0.014153,-0.11671
-4.444,4.6449,0.050114,0.084291,0.0062615,0.0061764
-4.4344,4.5359,0.15018,0.1257,0.042984,0.024053
-4.4318,4.4371,0.25062,0.099329,0.0035685,-0.073102
-4.4362,4.3437,0.35181,0.094416,2.1801e-05,-0.12329
-4.4391,4.2472,0.45394,0.11012,-0.018905,-0.14189
-4.4462,4.1515,0.55327,0.1196,0.040448,-0.14226
-4.5418,4.5451,0.25019,0.10102,0.029848,0.025981
-4.5349,4.4422,0.35087,0.068576,-0.0069694,-0.088936
-4.5393,4.3445,0.45314,0.070571,0.0006881,-0.13913
-4.5433,4.248,0.55776,0.085968,-0.0033935,-0.15744
-4.5482,4.1556,0.65791,0.10368,0.065917,-0.17099
-4.6446,4.5527,0.35018,0.072844,0.02359,0.040224
-4.641,4.4535,0.45124,0.043228,-0.011092,-0.095404
-4.6431,4.3514,0.55489,0.04648,-0.00099751,-0.14959
-4.6461,4.2587,0.66335,0.060829,0.011652,-0.17101
-4.648,4.1651,0.76441,0.08677,0.08074,-0.16751
-4.7455,4.5568,0.45021,0.045247,0.017661,0.044181
-4.7447,4.4612,0.55172,0.021971,-0.0095421,-0.092669
-4.7457,4.3599,0.6568,0.024914,-0.0002434,-0.14968
-4.7472,4.2667,0.7648,0.036553,0.019152,-0.17233
-4.7493,4.0583,0.75475,0.086351,0.088611,-0.083673
-4.7476,4.1683,0.86372,0.037955,0.00048616,-0.17418
-4.8474,4.5582,0.5503,0.019768,0.010015,0.042744
-4.8472,4.4651,0.65221,0.0079458,-0.0062072,-0.083705
-4.8476,4.3654,0.75725,0.010842,-0.0045384,-0.14373
-4.848,4.2671,0.86064,0.01729,-0.015576,-0.17218
-4.8494,3.9536,0.7474,0.057176,0.019042,-0.079876
-4.849,4.0653,0.85759,0.037117,-0.003472,-0.15
-4.848,4.1648,0.95757,0.022061,-0.029455,-0.18903
-4.9492,4.5582,0.65039,0.0095344,0.0044762,0.03319
-4.9491,4.4664,0.75239,0.00019665,-0.0046847,-0.092188
-4.9492,4.3666,0.8557,-0.0013622,-0.025129,-0.17617
-4.9492,4.2658,0.9566,0.00040449,-0.037248,-0.20646
-4.9498,3.8512,0.74391,0.02637,-0.020022,-0.071517
-4.9497,3.9571,0.84678,0.015164,-0.029281,-0.1283
-4.9495,4.0623,0.95414,0.006917,-0.041234,-0.18812
-4.9492,4.1628,1.054,0.0010312,-0.05555,-0.22197
-4.2577,3.7509,0.050158,0.011294,-0.037304,0.00025018
-4.1604,3.8536,0.050263,0.020555,-0.12587,-0.019911
-4.2567,3.8529,0.15058,0.052132,-0.042176,0.0024519
-4.0517,3.9574,0.050338,0.088474,-0.13302,-0.024972
-4.1538,3.9581,0.15078,0.056265,-0.11635,-0.045211
-4.2528,3.9548,0.25099,0.094942,-0.098089,-0.064562
-3.9465,4.059,0.050377,0.15121,-0.1084,-0.033496
-4.0446,4.0613,0.15098,0.11944,-0.11425,-0.050557
-4.1417,4.065,0.25125,0.091005,-0.12588,-0.090504
-4.2448,4.0583,0.35102,0.13882,-0.12693,-0.1095
-3.8453,4.1582,0.050378,0.18445,-0.06548,-0.033563
-3.9417,4.259,0.05033,0.1836,-0.037577,-0.035981
-3.943,4.1599,0.1511,0.15562,-0.084109,-0.05212
-4.0392,4.3573,0.050273,0.18188,-0.0094573,-0.027094
-4.0384,4.2606,0.15091,0.14897,-0.062525,-0.05868
-4.0395,4.1627,0.25173,0.14255,-0.098007,-0.086235
-4.1385,4.4515,0.050206,0.17067,0.010886,-0.016252
-4.1364,4.3568,0.15074,0.15204,-0.028072,-0.041678
-4.1345,4.2625,0.25137,0.13548,-0.078843,-0.093342
-4.1336,4.1672,0.35215,0.14302,-0.10317,-0.10669
-4.2383,4.5429,0.050127,0.14487,0.025884,0.0020946
-4.2361,4.4474,0.15053,0.14471,-0.0040148,-0.018525
-4.2342,4.3547,0.25116,0.12552,-0.035065,-0.078585
-4.2307,4.2635,0.35185,0.13898,-0.079092,-0.11671
