"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00046087,0.042073,-0.0023227
4.547,-0.15977,0.059155,-4.7741e-05,0.042359,-0.0035781
4.458,-0.050149,0.065018,0.00012669,0.028794,-0.0023804
4.4396,-0.16544,0.14391,0.0005509,0.048607,-0.0028902
4.6473,-0.1629,0.061376,-0.00030926,0.042015,-0.0032925
4.5465,-0.059566,0.061387,-0.00096868,0.03218,-0.0042519
4.5351,-0.19721,0.13978,0.00010453,0.048935,-0.003944
4.4589,0.048824,0.066728,5.8122e-05,0.02655,-0.0025413
4.4373,-0.060505,0.14646,0.00035212,0.044368,-0.0032154
4.4388,-0.1676,0.24676,0.00019477,0.049209,-0.0016543
4.7485,-0.16461,0.062711,-0.0016076,0.038595,-0.003131
4.6473,-0.062564,0.063843,-0.0018514,0.029638,-0.0043386
4.6435,-0.20031,0.14288,-8.8467e-05,0.048905,-0.0036439
4.548,0.045377,0.065122,-0.0013395,0.0311,-0.0029283
4.5314,-0.081154,0.14175,-0.00024634,0.045664,-0.003809
4.5335,-0.20072,0.24608,0.00010706,0.049493,-0.0020727
4.4594,0.14935,0.067264,-0.00039401,0.029854,-0.0016623
4.4394,0.045748,0.14873,0.00022838,0.044075,-0.0012458
4.4362,-0.063017,0.24687,9.5353e-05,0.047742,-0.0013465
4.4387,-0.16825,0.3482,5.0133e-05,0.049637,-0.00044177
4.8496,-0.16546,0.063376,-0.0026958,0.036549,-0.0029548
4.7486,-0.064059,0.065046,-0.0032121,0.027283,-0.004174
4.7472,-0.20102,0.14489,-0.00029977,0.048768,-0.0036315
4.6479,0.043342,0.068184,-0.002486,0.028321,-0.0029103
4.6417,-0.08749,0.14528,-0.00070297,0.045386,-0.0038882
4.6422,-0.20535,0.24738,-0.00028503,0.049555,-0.0019805
4.5488,0.148,0.066372,-0.0019499,0.035137,-0.0020203
4.534,0.03758,0.14685,-0.00068978,0.045263,-0.0017594
4.5288,-0.087833,0.24569,-0.00018609,0.04844,-0.0021392
4.5332,-0.20134,0.34835,1.3236e-05,0.049881,-0.00074392
4.4597,0.24987,0.067423,-0.00085343,0.033007,-0.0010346
4.4403,0.14846,0.14958,3.2706e-05,0.045965,0.00056372
4.4385,0.044193,0.24758,-3.3523e-05,0.047276,-0.00047478
4.4363,-0.063898,0.34817,5.9188e-05,0.048918,-0.00086992
4.4387,-0.16855,0.44938,6.1068e-06,0.049745,-0.00023483
4.95,-0.16578,0.063646,-0.0037585,0.034724,-0.0028308
4.8495,-0.064772,0.065506,-0.0041884,0.026022,-0.0041478
4.849,-0.20132,0.14594,-0.00048077,0.048684,-0.0035313
4.7488,0.0422,0.069522,-0.003921,0.026097,-0.0027725
4.7465,-0.089709,0.14734,-0.0011189,0.045201,-0.0037455
4.7464,-0.20628,0.24842,-0.00050479,0.049561,-0.0019305
4.6483,0.14689,0.06981,-0.0036799,0.032541,-0.0019275
4.6421,0.03235,0.15156,-0.0014821,0.044902,-0.001837
4.639,-0.098068,0.24726,-0.00075502,0.048371,-0.0020779
4.6417,-0.20634,0.34899,-0.00026257,0.049895,-0.00065848
4.5492,0.24927,0.066714,-0.0028506,0.038057,-0.0014215
4.5353,0.14514,0.14891,-0.0012278,0.047014,-0.00022641
4.531,0.032621,0.24745,-0.00079235,0.047962,-0.0010652
4.5283,-0.089853,0.34812,-0.00021923,0.049501,-0.0011082
4.5331,-0.20155,0.44955,-2.8267e-05,0.049967,-0.00034256
4.4599,0.35002,0.067467,-0.0013389,0.035187,-0.0005609
4.4406,0.24956,0.14989,-0.00020614,0.04747,0.0013102
4.4395,0.1477,0.24802,-0.00017187,0.048067,8.5344e-05
4.4386,0.043415,0.34834,-4.1602e-05,0.048736,-0.00056228
4.4363,-0.06429,0.4493,-1.1657e-05,0.049541,-0.00052458
4.4387,-0.16865,0.54992,-1.5978e-05,0.049772,-0.00014758
5.05,-0.16586,0.063726,-0.0045239,0.033579,-0.0027361
4.9499,-0.065042,0.065669,-0.0051954,0.025021,-0.0041531
4.9498,-0.20145,0.1464,-0.00063191,0.048619,-0.003456
4.8495,0.041651,0.069974,-0.0049872,0.025056,-0.0027738
4.8486,-0.090646,0.14827,-0.0014822,0.045073,-0.0037549
4.8487,-0.20661,0.24905,-0.00067992,0.049567,-0.0019014
4.749,0.14618,0.071289,-0.0057248,0.030689,-0.0017979
4.7463,0.02958,0.15407,-0.0021416,0.044613,-0.0017226
4.7448,-0.10182,0.24862,-0.0011622,0.048305,-0.0020608
4.746,-0.20747,0.34955,-0.0004032,0.049899,-0.00063106
4.6485,0.2487,0.070292,-0.0051353,0.035655,-0.0012969
4.6425,0.142,0.15445,-0.0023102,0.046633,-0.00023766
4.6384,0.023286,0.24987,-0.0015665,0.047796,-0.0010582
4.6379,-0.1019,0.34886,-0.00078943,0.049417,-0.0010996
