"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00046226,0.042071,-0.002319
4.547,-0.15977,0.059155,-4.4318e-05,0.042362,-0.0035712
4.458,-0.050149,0.065018,0.00012969,0.028764,-0.0023759
4.4396,-0.16544,0.14391,0.00055224,0.048607,-0.0028857
4.6473,-0.1629,0.061376,-0.00030362,0.042031,-0.0032864
4.5465,-0.059566,0.061387,-0.00095762,0.032141,-0.0042477
4.5351,-0.19721,0.13978,0.00010616,0.048935,-0.0039371
4.4589,0.048824,0.066728,6.1555e-05,0.02651,-0.0025363
4.4373,-0.060505,0.14646,0.00035467,0.044347,-0.0032036
4.4388,-0.1676,0.24676,0.00019557,0.049208,-0.001647
4.7485,-0.16461,0.062711,-0.0015922,0.038611,-0.0031242
4.6473,-0.062564,0.063843,-0.0018334,0.029622,-0.0043367
4.6435,-0.20031,0.14288,-8.6985e-05,0.048906,-0.003637
4.548,0.045377,0.065122,-0.0013274,0.031044,-0.0029237
4.5314,-0.081154,0.14175,-0.00024112,0.045654,-0.0038004
4.5335,-0.20072,0.24608,0.00010968,0.049492,-0.0020648
4.4594,0.14935,0.067264,-0.00039092,0.029785,-0.0016563
4.4394,0.045748,0.14873,0.00023189,0.044039,-0.0012338
4.4362,-0.063017,0.24687,9.6919e-05,0.047731,-0.0013255
4.4387,-0.16825,0.3482,5.046e-05,0.049637,-0.00043493
4.8496,-0.16546,0.063376,-0.002671,0.03657,-0.0029495
4.7486,-0.064059,0.065046,-0.0031824,0.027248,-0.0041705
4.7472,-0.20102,0.14489,-0.00029746,0.048769,-0.0036246
4.6479,0.043342,0.068184,-0.0024661,0.028281,-0.0029085
4.6417,-0.08749,0.14528,-0.0006971,0.045378,-0.0038811
4.6422,-0.20535,0.24738,-0.00028228,0.049555,-0.0019734
4.5488,0.148,0.066372,-0.0019407,0.035056,-0.0020145
4.534,0.03758,0.14685,-0.00068307,0.045234,-0.0017436
4.5288,-0.087833,0.24569,-0.00018045,0.048436,-0.0021228
4.5332,-0.20134,0.34835,1.4841e-05,0.04988,-0.00073814
4.4597,0.24987,0.067423,-0.00085399,0.032908,-0.0010257
4.4403,0.14846,0.14958,3.7062e-05,0.045907,0.00058055
4.4385,0.044193,0.24758,-3.1839e-05,0.047252,-0.00044719
4.4363,-0.063898,0.34817,6.1038e-05,0.04891,-0.00084389
4.4387,-0.16855,0.44938,6.6745e-06,0.049743,-0.0002287
4.95,-0.16578,0.063646,-0.0037211,0.03476,-0.0028268
4.8495,-0.064772,0.065506,-0.0041522,0.025992,-0.0041457
4.849,-0.20132,0.14594,-0.00047709,0.048685,-0.0035267
4.7488,0.0422,0.069522,-0.0038857,0.026036,-0.0027692
4.7465,-0.089709,0.14734,-0.0011101,0.045193,-0.0037384
4.7464,-0.20628,0.24842,-0.00050204,0.04956,-0.0019242
4.6483,0.14689,0.06981,-0.0036649,0.032476,-0.0019221
4.6421,0.03235,0.15156,-0.0014751,0.044875,-0.0018234
4.639,-0.098068,0.24726,-0.00074304,0.048375,-0.0020648
4.6417,-0.20634,0.34899,-0.00026166,0.049894,-0.000653
4.5492,0.24927,0.066714,-0.0028402,0.037944,-0.0014121
4.5353,0.14514,0.14891,-0.001219,0.046968,-0.00020325
4.531,0.032621,0.24745,-0.00078887,0.047947,-0.0010287
4.5283,-0.089853,0.34812,-0.00020916,0.049501,-0.0010845
4.5331,-0.20155,0.44955,-2.6545e-05,0.049967,-0.00033482
4.4599,0.35002,0.067467,-0.0013363,0.035031,-0.00055099
4.4406,0.24956,0.14989,-0.00019993,0.047381,0.0013345
4.4395,0.1477,0.24802,-0.00016845,0.048023,0.00012286
4.4386,0.043415,0.34834,-3.9424e-05,0.048713,-0.00053184
4.4363,-0.06429,0.4493,-9.1521e-06,0.049533,-0.00049223
4.4387,-0.16865,0.54992,-1.5453e-05,0.04977,-0.00013753
5.05,-0.16586,0.063726,-0.0044771,0.033624,-0.0027337
4.9499,-0.065042,0.065669,-0.005151,0.024999,-0.0041495
4.9498,-0.20145,0.1464,-0.0006271,0.04862,-0.0034533
4.8495,0.041651,0.069974,-0.0049405,0.025004,-0.00277
4.8486,-0.090646,0.14827,-0.0014724,0.045065,-0.003746
4.8487,-0.20661,0.24905,-0.00067675,0.049566,-0.0018955
4.749,0.14618,0.071289,-0.0057035,0.030612,-0.0017902
4.7463,0.02958,0.15407,-0.0021354,0.044586,-0.0017032
4.7448,-0.10182,0.24862,-0.0011495,0.048307,-0.0020474
4.746,-0.20747,0.34955,-0.00040174,0.049898,-0.00062524
4.6485,0.2487,0.070292,-0.0051123,0.035546,-0.0012859
4.6425,0.142,0.15445,-0.0023001,0.046583,-0.00021376
4.6384,0.023286,0.24987,-0.0015634,0.047781,-0.0010216
4.6379,-0.1019,0.34886,-0.00077965,0.049414,-0.0010776
4.6414,-0.20667,0.44988,-0.00023457,0.04998,-0.0002855
4.5493,0.34975,0.066802,-0.0039095,0.039893,-0.00093809
4.5357,0.24803,0.14959,-0.0018041,0.048759,0.00059076
4.5323,0.14238,0.24861,-0.001275,0.048689,-0.00039216
4.5302,0.030098,0.34857,-0.0006827,0.049428,-0.00081451
4.5281,-0.090622,0.44936,-0.00022,0.049966,-0.00064134
4.533,-0.20164,0.55002,-4.0263e-05,0.049997,-0.00014155
4.46,0.45002,0.067475,-0.001818,0.037246,-0.00018612
4.4407,0.34989,0.15,-0.00044224,0.048755,0.0018238
4.4398,0.24919,0.24825,-0.00028209,0.049215,0.00029476
4.4397,0.14721,0.34851,-0.00016651,0.049349,-0.00017767
4.4387,0.043034,0.44929,-9.7151e-05,0.049603,-0.000347
4.4363,-0.064448,0.54984,-3.2954e-05,0.049723,-0.00023119
4.4387,-0.16868,0.65006,-3.1033e-05,0.049771,-9.1961e-05
5.15,-0.16586,0.063739,-0.0049554,0.032889,-0.0026584
5.05,-0.065111,0.065721,-0.0058457,0.024295,-0.0041929
5.05,-0.2015,0.14654,-0.00073216,0.048578,-0.0033838
4.9498,0.041432,0.07012,-0.006,0.024247,-0.002796
4.9495,-0.091055,0.14864,-0.0017417,0.044946,-0.0037641
4.9496,-0.20676,0.24936,-0.00080394,0.049572,-0.0018733
4.8495,0.14581,0.07178,-0.007448,0.029698,-0.0018067
4.8484,0.028276,0.1551,-0.0026849,0.044432,-0.0018241
4.8477,-0.10331,0.24941,-0.0015012,0.04827,-0.0020471
4.8485,-0.20791,0.34992,-0.0005059,0.0499,-0.00061084
4.749,0.2483,0.071841,-0.0076187,0.033785,-0.0011968
4.7463,0.13989,0.15737,-0.0032247,0.046256,-0.00016749
4.7438,0.017847,0.2518,-0.0022169,0.047606,-0.0010006
4.7439,-0.10691,0.34963,-0.0011264,0.049392,-0.0010699
4.7458,-0.20792,0.45017,-0.00034759,0.049979,-0.00027052
4.6486,0.34947,0.070427,-0.0067335,0.037626,-0.0007766
4.6427,0.24626,0.15549,-0.0031562,0.048355,0.00061475
4.6384,0.13641,0.2518,-0.0023333,0.048511,-0.00037522
4.6365,0.017926,0.34971,-0.0014837,0.049241,-0.00083995
4.6375,-0.10336,0.44973,-0.00074377,0.049884,-0.0006427
4.6413,-0.20682,0.55017,-0.00021156,0.050002,-0.00012916
4.5494,0.4499,0.066825,-0.0050599,0.041981,-0.0005327
4.5359,0.34914,0.14982,-0.0024562,0.050344,0.0011141
4.5327,0.24652,0.24917,-0.0017064,0.050063,-0.00015761
4.5313,0.14052,0.34906,-0.0011749,0.050135,-0.00039937
4.5299,0.028944,0.44941,-0.00068518,0.050235,-0.00056863
4.5281,-0.09096,0.54988,-0.00025601,0.050172,-0.00036045
4.533,-0.20168,0.65011,-5.034e-05,0.050004,-7.7559e-05
4.46,0.55,0.067472,-0.0023139,0.040024,0.00017212
4.4407,0.44995,0.15003,-0.00070858,0.050543,0.002216
4.4399,0.3497,0.24836,-0.00040409,0.050726,0.00043408
4.44,0.24891,0.34861,-0.00027687,0.050518,0.00016135
4.4397,0.14692,0.44933,-0.00020673,0.050213,-0.0001055
4.4386,0.042862,0.54979,-0.00011918,0.050039,-0.00021183
4.4363,-0.0645,0.65001,-4.6575e-05,0.049868,-0.00014558
4.4387,-0.16867,0.75006,-3.1955e-05,0.049754,-5.2664e-05
5.25,-0.16586,0.063726,-0.00508,0.032677,-0.0026138
5.15,-0.06512,0.065732,-0.0062692,0.023704,-0.0042464
5.15,-0.20151,0.14657,-0.00079608,0.048546,-0.0033241
5.05,0.041364,0.070167,-0.0067861,0.023665,-0.0028554
5.0499,-0.091217,0.14878,-0.0019597,0.044828,-0.0038065
5.0499,-0.20683,0.24947,-0.0008942,0.049578,-0.0018572
4.9498,0.14564,0.071936,-0.0090996,0.0289,-0.0018455
4.9493,0.027673,0.1555,-0.0031874,0.044237,-0.0019119
4.9491,-0.10398,0.24981,-0.0017846,0.048241,-0.002052
4.9496,-0.20811,0.35011,-0.0005865,0.0499,-0.00060283
4.8495,0.24806,0.072363,-0.0098677,0.032757,-0.001235
4.8482,0.13871,0.15856,-0.0040489,0.046009,-0.00035114
4.8469,0.015263,0.25287,-0.0027838,0.047491,-0.0010465
4.8471,-0.10898,0.35016,-0.0014314,0.049371,-0.0010764
4.8484,-0.20844,0.45036,-0.00043444,0.049978,-0.000267
4.7491,0.34925,0.072007,-0.0098169,0.035979,-0.00072759
4.7463,0.24487,0.15865,-0.0043922,0.047964,0.00059518
4.7433,0.13197,0.2543,-0.0032573,0.048278,-0.00037197
4.7421,0.01002,0.3509,-0.0020633,0.049109,-0.00083631
4.7434,-0.10901,0.45015,-0.0010955,0.049855,-0.00064425
4.7458,-0.20813,0.5503,-0.0003301,0.050002,-0.00013008
4.6487,0.44976,0.070468,-0.0085513,0.039877,-0.00035025
4.6428,0.34814,0.15586,-0.0041142,0.049888,0.0011594
4.6385,0.24298,0.25278,-0.0031019,0.049866,-0.00012673
4.636,0.13218,0.35067,-0.0022431,0.049922,-0.00043395
4.6357,0.015397,0.44995,-0.0014603,0.05005,-0.00058847
4.6373,-0.10402,0.55007,-0.00074187,0.050089,-0.00035463
4.6413,-0.20689,0.65017,-0.00021306,0.050015,-7.1132e-05
4.5494,0.54995,0.066831,-0.0063097,0.044548,-0.00018812
4.5359,0.44956,0.14989,-0.00317,0.052203,0.0015535
4.5328,0.34828,0.24941,-0.0021749,0.051744,5.4301e-05
4.5317,0.24531,0.34938,-0.001628,0.051459,-6.022e-05
4.5309,0.13945,0.44958,-0.001172,0.051011,-0.00029356
4.5298,0.028391,0.54985,-0.0006998,0.050648,-0.00036572
4.528,-0.091114,0.65004,-0.00027766,0.050261,-0.00021626
4.533,-0.20169,0.75008,-5.3759e-05,0.050005,-4.6666e-05
4.46,0.64999,0.067469,-0.0028453,0.043334,0.00046152
4.4407,0.54996,0.15003,-0.0010027,0.052883,0.0025572
4.4399,0.44985,0.24839,-0.00055586,0.052677,0.0006604
4.44,0.34953,0.34867,-0.00040451,0.052066,0.00047863
4.44,0.24872,0.44936,-0.00032097,0.051288,0.00012915
4.4397,0.14677,0.54979,-0.00022304,0.050667,-9.4885e-05
4.4386,0.042789,0.64997,-0.00012986,0.050258,-0.00015289
4.4363,-0.064514,0.75003,-4.9535e-05,0.049896,-9.4645e-05
4.4387,-0.16867,0.85003,-2.9127e-05,0.049725,-3.0466e-05
5.35,-0.16578,0.063646,-0.0049055,0.032944,-0.0025982
5.25,-0.065112,0.065721,-0.0063938,0.023264,-0.0043268
5.25,-0.2015,0.14654,-0.00081911,0.048525,-0.0032672
5.15,0.041351,0.070178,-0.0072925,0.023098,-0.0029233
5.15,-0.091259,0.14881,-0.0021103,0.044689,-0.0038516
5.15,-0.20685,0.2495,-0.00095056,0.04958,-0.0018526
5.0499,0.14558,0.071988,-0.010371,0.028186,-0.0019143
5.0497,0.027413,0.15566,-0.0036186,0.044014,-0.0020033
5.0497,-0.10427,0.24997,-0.0020022,0.048214,-0.0020559
5.0499,-0.2082,0.35019,-0.00064626,0.049899,-0.00059861
4.9498,0.24794,0.072531,-0.011884,0.031768,-0.0012898
4.9491,0.13809,0.15903,-0.0048191,0.045674,-0.00049488
4.9485,0.014031,0.25339,-0.0032756,0.047378,-0.0010919
4.9487,-0.10994,0.35047,-0.0016786,0.04935,-0.0010896
4.9495,-0.20869,0.45047,-0.00050736,0.049975,-0.00026768
4.8495,0.3491,0.072545,-0.012701,0.034845,-0.00080852
4.8481,0.24397,0.15996,-0.00555,0.047585,0.00037613
4.8463,0.12934,0.25569,-0.0040887,0.048071,-0.00045162
4.8457,0.006018,0.35172,-0.0026126,0.048995,-0.00087377
4.8468,-0.1115,0.45047,-0.0013853,0.04983,-0.00065108
4.8483,-0.2087,0.55039,-0.00041507,0.050001,-0.00013074
4.7491,0.44963,0.072061,-0.012354,0.038343,-0.00035003
4.7463,0.34727,0.15913,-0.0057062,0.049456,0.0010942
4.7431,0.23993,0.25565,-0.0043612,0.049576,-0.00014281
4.741,0.12522,0.35235,-0.0031158,0.049696,-0.00043934
4.7412,0.0059994,0.45062,-0.0020168,0.049925,-0.0006014
4.7432,-0.10999,0.55029,-0.0010791,0.050053,-0.00035808
4.7457,-0.20823,0.65022,-0.00032594,0.050012,-7.1622e-05
4.6487,0.54987,0.070481,-0.010638,0.042669,-4.9421e-06
4.6428,0.449,0.156,-0.0051834,0.051712,0.0016029
4.6385,0.34619,0.25324,-0.003929,0.051501,0.00010044
4.6358,0.24012,0.35133,-0.0030118,0.051227,-0.00010172
4.6348,0.12963,0.45036,-0.0022166,0.050791,-0.00032241
4.6353,0.014173,0.55012,-0.0014546,0.050468,-0.00037208
4.6372,-0.10433,0.65014,-0.00074773,0.050176,-0.00021233
4.6413,-0.20692,0.7501,-0.00021605,0.050019,-4.4495e-05
4.5494,0.64997,0.066832,-0.0076821,0.04761,0.00016957
4.5359,0.54975,0.14991,-0.0039386,0.054483,0.001951
4.5328,0.44906,0.24951,-0.0027162,0.053798,0.00033704
4.5317,0.34751,0.34956,-0.0021134,0.053159,0.00025694
4.5312,0.24449,0.44974,-0.0016397,0.052267,-4.7876e-05
4.5307,0.13886,0.5499,-0.0011709,0.051487,-0.00022735
4.5297,0.028117,0.65001,-0.00071497,0.050853,-0.0002522
4.528,-0.091186,0.75006,-0.00028853,0.050299,-0.0001403
4.533,-0.2017,0.85004,-5.359e-05,0.050005,-3.2438e-05
4.46,0.75001,0.067464,-0.00343,0.047181,0.00071474
4.4407,0.64997,0.15002,-0.0013314,0.055774,0.0028969
4.4399,0.54989,0.2484,-0.00073325,0.055143,0.00094543
4.44,0.44975,0.34869,-0.00055815,0.054008,0.00085939
4.44,0.34941,0.44939,-0.0004508,0.052765,0.00035337
4.4399,0.2486,0.5498,-0.00033683,0.051712,4.7253e-05
4.4396,0.1467,0.64996,-0.00023186,0.050929,-9.4132e-05
4.4386,0.042759,0.75001,-0.00013571,0.05036,-0.00010826
4.4363,-0.064517,0.85002,-4.7993e-05,0.049898,-6.4849e-05
4.4387,-0.16866,0.95001,-2.6519e-05,0.049703,-1.9017e-05
5.4504,-0.16546,0.063376,-0.0045552,0.03363,-0.0026436
5.3501,-0.065044,0.065669,-0.0062408,0.023042,-0.0044177
5.3502,-0.20145,0.1464,-0.00081001,0.048518,-0.0032269
5.25,0.041362,0.070167,-0.0074483,0.022575,-0.0030057
5.2501,-0.09122,0.14878,-0.0021972,0.044523,-0.0039047
5.25,-0.20683,0.24947,-0.00097471,0.049577,-0.0018622
5.15,0.14556,0.072,-0.011216,0.027427,-0.0019907
5.15,0.027338,0.1557,-0.0039389,0.043735,-0.0020789
5.15,-0.10435,0.25002,-0.0021438,0.04818,-0.0020626
5.15,-0.20823,0.35021,-0.00068113,0.049897,-0.00059567
5.0499,0.24788,0.072588,-0.013407,0.030718,-0.0013743
5.0496,0.13779,0.15921,-0.005468,0.045262,-0.0006376
5.0493,0.013468,0.25362,-0.0036695,0.047251,-0.0011322
5.0495,-0.11037,0.3506,-0.0018652,0.049325,-0.0011045
5.0499,-0.2088,0.45051,-0.00056265,0.049973,-0.00027077
4.9498,0.34901,0.072721,-0.015159,0.033615,-0.00089674
4.949,0.24344,0.16049,-0.0066323,0.047076,0.00019861
4.948,0.12792,0.25636,-0.0048312,0.047832,-0.00051827
4.9478,0.0040846,0.35219,-0.0030755,0.048884,-0.00091692
4.9485,-0.1127,0.45067,-0.0016247,0.049805,-0.0006639
4.9495,-0.20898,0.55044,-0.00048784,0.049999,-0.00013365
4.8495,0.44954,0.072606,-0.015847,0.037072,-0.00046886
4.848,0.34663,0.16051,-0.0072228,0.049,0.00085817
4.846,0.23782,0.25727,-0.0055132,0.049258,-0.00024714
4.8446,0.12076,0.35354,-0.0039402,0.049469,-0.00051241
4.845,0.00090746,0.45116,-0.0025473,0.049811,-0.00063014
4.8466,-0.11274,0.55047,-0.0013708,0.050021,-0.00036799
4.8483,-0.20883,0.65026,-0.00041446,0.05001,-7.4609e-05
4.7491,0.54979,0.072079,-0.015266,0.041226,-5.3507e-05
4.7463,0.44844,0.15931,-0.0072035,0.051262,0.0014952
4.7429,0.34418,0.2563,-0.0055625,0.05114,6.1381e-05
4.7403,0.2352,0.35339,-0.0042336,0.050924,-0.00012927
4.7395,0.12078,0.45135,-0.0030569,0.050555,-0.00034876
4.7407,0.0040147,0.55049,-0.0020108,0.050331,-0.00039309
4.7431,-0.11048,0.65025,-0.0010848,0.050133,-0.0002178
4.7457,-0.20829,0.75013,-0.00032898,0.050016,-4.6191e-05
4.6487,0.64992,0.070485,-0.013107,0.046017,0.00034244
4.6428,0.5494,0.15605,-0.0063611,0.053987,0.0019835
4.6385,0.44779,0.25343,-0.0048335,0.053516,0.00037673
4.6357,0.34431,0.3517,-0.0038387,0.052887,0.00020957
4.6344,0.23811,0.45073,-0.002991,0.052024,-9.0016e-05
4.6342,0.1282,0.5503,-0.0022108,0.051265,-0.00024696
4.6351,0.013546,0.65017,-0.0014599,0.050667,-0.00026055
4.6371,-0.10449,0.75011,-0.00075585,0.05021,-0.0001398
4.6413,-0.20694,0.85005,-0.00021838,0.05002,-3.1422e-05
4.5494,0.74999,0.066831,-0.0092785,0.051261,0.00052275
4.5359,0.64984,0.14992,-0.0047734,0.057254,0.0023458
4.5328,0.54943,0.24955,-0.0033123,0.056329,0.00066565
4.5317,0.44856,0.34964,-0.0026578,0.055215,0.00057942
4.5312,0.34693,0.44985,-0.0021299,0.053906,0.00014553
4.5309,0.24397,0.54998,-0.001642,0.052723,-7.7143e-05
4.5305,0.13853,0.65003,-0.0011815,0.051753,-0.00018933
4.5297,0.027976,0.75005,-0.00073037,0.050958,-0.00018158
4.528,-0.091223,0.85004,-0.00029133,0.050318,-0.00010111
4.533,-0.20171,0.95002,-5.3103e-05,0.050005,-2.5053e-05
4.4601,0.85006,0.067453,-0.004104,0.051662,0.00099748
4.4407,0.74999,0.15002,-0.001692,0.05923,0.0033023
4.4399,0.64992,0.2484,-0.00093075,0.058151,0.0012705
4.44,0.54983,0.3487,-0.00073498,0.056432,0.0012145
4.44,0.44966,0.4494,-0.00060124,0.054667,0.00051243
4.44,0.34932,0.54981,-0.00046662,0.053182,0.00018343
4.4399,0.24853,0.64997,-0.00034624,0.051978,-4.0562e-06
4.4396,0.14666,0.75001,-0.00023868,0.051066,-8.1158e-05
4.4386,0.042745,0.85001,-0.00013729,0.05041,-8.3891e-05
4.4363,-0.064519,0.95001,-4.6093e-05,0.049896,-4.7754e-05
4.4387,-0.16866,1.05,-2.4842e-05,0.049689,-1.3138e-05
5.5515,-0.16461,0.062711,-0.0041813,0.034475,-0.0027394
5.4505,-0.064774,0.065506,-0.005807,0.023211,-0.0044712
5.4509,-0.20132,0.14594,-0.00078325,0.048533,-0.0032411
5.3501,0.041429,0.070119,-0.007261,0.02221,-0.003083
5.3505,-0.091061,0.14864,-0.0022186,0.044352,-0.0039617
5.3503,-0.20677,0.24936,-0.00096658,0.04957,-0.0018819
5.25,0.14557,0.071987,-0.011528,0.02668,-0.0020743
5.2502,0.027404,0.15566,-0.0041149,0.043405,-0.002148
5.2503,-0.10427,0.24997,-0.0021999,0.048137,-0.0020722
5.2501,-0.20821,0.35019,-0.00069303,0.049893,-0.00059599
5.15,0.24786,0.072602,-0.014355,0.029514,-0.0014632
5.1499,0.1377,0.15926,-0.005943,0.044749,-0.00076103
5.1499,0.013298,0.25368,-0.0039448,0.047093,-0.0011573
5.1499,-0.1105,0.35064,-0.0019929,0.049287,-0.0011203
5.15,-0.20884,0.45052,-0.0005972,0.049969,-0.0002739
5.0499,0.34896,0.072781,-0.016999,0.03218,-0.00098335
5.0495,0.24315,0.1607,-0.0075507,0.046415,2.5954e-05
5.0491,0.12721,0.25666,-0.0054337,0.047543,-0.00054808
5.049,0.003185,0.35242,-0.0034422,0.048755,-0.00095947
5.0494,-0.11325,0.45077,-0.0018097,0.049775,-0.00067919
5.0499,-0.20912,0.55046,-0.00054343,0.049997,-0.00013748
