"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00046107,0.042073,-0.0023213
4.547,-0.15977,0.059155,-4.7391e-05,0.042358,-0.0035764
4.458,-0.050149,0.065018,0.00012702,0.028787,-0.002379
4.4396,-0.16544,0.14391,0.00055115,0.048607,-0.0028886
4.6473,-0.1629,0.061376,-0.00030859,0.042016,-0.0032909
4.5465,-0.059566,0.061387,-0.00096718,0.032171,-0.0042504
4.5351,-0.19721,0.13978,0.00010484,0.048935,-0.0039423
4.4589,0.048824,0.066728,5.8604e-05,0.026541,-0.0025399
4.4373,-0.060505,0.14646,0.00035258,0.044363,-0.0032129
4.4388,-0.1676,0.24676,0.00019495,0.049209,-0.0016528
4.7485,-0.16461,0.062711,-0.0016054,0.038596,-0.0031297
4.6473,-0.062564,0.063843,-0.0018485,0.029633,-0.0043376
4.6435,-0.20031,0.14288,-8.8197e-05,0.048905,-0.0036422
4.548,0.045377,0.065122,-0.0013378,0.031087,-0.0029268
4.5314,-0.081154,0.14175,-0.00024541,0.045662,-0.0038066
4.5335,-0.20072,0.24608,0.00010757,0.049493,-0.0020708
4.4594,0.14935,0.067264,-0.00039401,0.02984,-0.0016604
4.4394,0.045748,0.14873,0.00022903,0.044067,-0.0012431
4.4362,-0.063017,0.24687,9.5583e-05,0.04774,-0.0013412
4.4387,-0.16825,0.3482,5.0204e-05,0.049637,-0.00044017
4.8496,-0.16546,0.063376,-0.0026916,0.036551,-0.0029537
4.7486,-0.064059,0.065046,-0.0032071,0.027275,-0.0041729
4.7472,-0.20102,0.14489,-0.00029935,0.048768,-0.0036303
4.6479,0.043342,0.068184,-0.0024827,0.028311,-0.0029094
4.6417,-0.08749,0.14528,-0.00070191,0.045384,-0.0038862
4.6422,-0.20535,0.24738,-0.00028452,0.049555,-0.0019787
4.5488,0.148,0.066372,-0.0019488,0.035118,-0.0020185
4.534,0.03758,0.14685,-0.00068865,0.045257,-0.0017555
4.5288,-0.087833,0.24569,-0.00018502,0.048439,-0.0021352
4.5332,-0.20134,0.34835,1.3514e-05,0.049881,-0.00074248
4.4597,0.24987,0.067423,-0.00085355,0.032983,-0.0010324
4.4403,0.14846,0.14958,3.3568e-05,0.045952,0.00056765
4.4385,0.044193,0.24758,-3.3278e-05,0.047271,-0.00046791
4.4363,-0.063898,0.34817,5.9622e-05,0.048917,-0.00086355
