"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00046154,0.042072,-0.00232
4.547,-0.15977,0.059155,-4.6209e-05,0.042359,-0.0035743
4.458,-0.050149,0.065018,0.00012811,0.028778,-0.0023776
4.4396,-0.16544,0.14391,0.0005516,0.048607,-0.0028871
4.6473,-0.1629,0.061376,-0.00030653,0.042022,-0.0032891
4.5465,-0.059566,0.061387,-0.00096327,0.032159,-0.0042493
4.5351,-0.19721,0.13978,0.00010539,0.048935,-0.0039402
4.4589,0.048824,0.066728,5.9816e-05,0.026528,-0.0025384
4.4373,-0.060505,0.14646,0.00035344,0.044357,-0.0032095
4.4388,-0.1676,0.24676,0.00019523,0.049209,-0.0016508
4.7485,-0.16461,0.062711,-0.0016,0.038602,-0.0031274
4.6473,-0.062564,0.063843,-0.0018423,0.029629,-0.0043373
4.6435,-0.20031,0.14288,-8.7717e-05,0.048905,-0.0036402
4.548,0.045377,0.065122,-0.0013335,0.03107,-0.0029256
4.5314,-0.081154,0.14175,-0.00024361,0.045659,-0.0038041
4.5335,-0.20072,0.24608,0.00010843,0.049492,-0.0020685
4.4594,0.14935,0.067264,-0.00039271,0.029818,-0.0016587
4.4394,0.045748,0.14873,0.00023021,0.044056,-0.0012397
4.4362,-0.063017,0.24687,9.6065e-05,0.047737,-0.0013346
4.4387,-0.16825,0.3482,5.0312e-05,0.049637,-0.00043817
4.8496,-0.16546,0.063376,-0.0026833,0.036559,-0.0029519
4.7486,-0.064059,0.065046,-0.0031971,0.027264,-0.004172
4.7472,-0.20102,0.14489,-0.0002986,0.048769,-0.003628
4.6479,0.043342,0.068184,-0.0024758,0.0283,-0.0029091
4.6417,-0.08749,0.14528,-0.00069987,0.045382,-0.0038842
4.6422,-0.20535,0.24738,-0.0002836,0.049555,-0.0019767
4.5488,0.148,0.066372,-0.0019454,0.035093,-0.002017
4.534,0.03758,0.14685,-0.00068632,0.045248,-0.0017508
4.5288,-0.087833,0.24569,-0.00018313,0.048438,-0.0021304
4.5332,-0.20134,0.34835,1.4043e-05,0.04988,-0.00074087
4.4597,0.24987,0.067423,-0.00085367,0.032953,-0.0010297
4.4403,0.14846,0.14958,3.5023e-05,0.045934,0.0005725
4.4385,0.044193,0.24758,-3.2698e-05,0.047263,-0.0004595
4.4363,-0.063898,0.34817,6.0259e-05,0.048914,-0.00085571
4.4387,-0.16855,0.44938,6.4055e-06,0.049744,-0.00023166
4.95,-0.16578,0.063646,-0.0037395,0.034742,-0.0028289
4.8495,-0.064772,0.065506,-0.0041701,0.026006,-0.0041466
4.849,-0.20132,0.14594,-0.00047892,0.048684,-0.0035288
4.7488,0.0422,0.069522,-0.0039027,0.026064,-0.0027706
4.7465,-0.089709,0.14734,-0.0011142,0.045197,-0.0037415
4.7464,-0.20628,0.24842,-0.00050339,0.049561,-0.0019271
4.6483,0.14689,0.06981,-0.0036726,0.032506,-0.0019244
4.6421,0.03235,0.15156,-0.0014786,0.044887,-0.0018295
4.639,-0.098068,0.24726,-0.00074862,0.048373,-0.0020708
4.6417,-0.20634,0.34899,-0.00026218,0.049894,-0.00065557
