"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,-0.0010657,0.0084936,-0.0022309
4.547,-0.15977,0.059155,-0.0044333,0.0076278,0.00034346
4.458,-0.050149,0.065018,-0.0034007,0.011069,0.00042861
4.4396,-0.16544,0.14391,-0.00037038,0.0056617,9.3378e-06
4.6473,-0.1629,0.061376,-0.0096323,0.0054962,0.0010098
4.5465,-0.059566,0.061387,-0.0069133,0.0067346,0.0026065
4.5351,-0.19721,0.13978,-0.00070925,0.0067013,0.00047382
4.4589,0.048824,0.066728,-0.0044226,0.012626,0.0016308
4.4373,-0.060505,0.14646,-0.0028081,0.011089,0.0025455
4.4388,-0.1676,0.24676,-0.00046993,0.0065707,0.0004396
4.7485,-0.16461,0.062711,-0.0097705,-0.0042587,0.0026502
4.6473,-0.062564,0.063843,-0.008442,-0.00046972,0.0031473
4.6435,-0.20031,0.14288,-0.0029892,0.0054697,0.0010573
4.548,0.045377,0.065122,-0.0065128,0.0036743,0.0025958
4.5314,-0.081154,0.14175,-0.004881,0.0097739,0.0038174
4.5335,-0.20072,0.24608,0.00028788,0.0081624,0.0011147
4.4594,0.14935,0.067264,-0.0039349,0.013978,0.0018163
4.4394,0.045748,0.14873,-0.0040136,0.012712,0.0033857
4.4362,-0.063017,0.24687,-0.0019945,0.011309,0.0030519
4.4387,-0.16825,0.3482,-0.00035358,0.0071644,0.00065086
4.8496,-0.16546,0.063376,-0.0090935,-0.014268,0.0044537
4.7486,-0.064059,0.065046,-0.0057469,-0.0088749,0.0037654
4.7472,-0.20102,0.14489,-0.0027182,0.0017804,0.0016988
4.6479,0.043342,0.068184,-0.0051538,-0.0095398,0.0023826
4.6417,-0.08749,0.14528,-0.0066651,0.0059201,0.005245
4.6422,-0.20535,0.24738,-0.0013513,0.0066867,0.0016582
4.5488,0.148,0.066372,-0.0038729,0.00069509,0.0018357
4.534,0.03758,0.14685,-0.0055184,0.0084097,0.0048904
4.5288,-0.087833,0.24569,-0.0026339,0.011441,0.0046335
4.5332,-0.20134,0.34835,0.00085176,0.0089209,0.0011521
4.4597,0.24987,0.067423,-0.003379,0.014306,0.0018434
4.4403,0.14846,0.14958,-0.0039064,0.014512,0.0035065
4.4385,0.044193,0.24758,-0.0032509,0.013335,0.0056765
4.4363,-0.063898,0.34817,-0.0012781,0.0113,0.0028464
4.4387,-0.16855,0.44938,-2.1263e-05,0.007507,0.00055894
4.95,-0.16578,0.063646,-0.0085826,-0.022222,0.0050392
4.8495,-0.064772,0.065506,-0.0039994,-0.01795,0.0036322
4.849,-0.20132,0.14594,-0.0036394,-0.006776,0.0061992
4.7488,0.0422,0.069522,-0.003713,-0.017829,0.0020886
4.7465,-0.089709,0.14734,-0.0046234,-0.00071312,0.0060963
4.7464,-0.20628,0.24842,-0.0015396,0.0049155,0.0025327
4.6483,0.14689,0.06981,-0.003691,-0.013781,0.0015369
4.6421,0.03235,0.15156,-0.0048489,-0.00095357,0.0055029
4.639,-0.098068,0.24726,-0.0044985,0.0098749,0.0068497
4.6417,-0.20634,0.34899,-0.00060272,0.0078263,0.0014592
4.5492,0.24927,0.066714,-0.003142,-0.0036697,0.0013898
4.5353,0.14514,0.14891,-0.0039856,0.0057504,0.0047435
