"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00074945,0.0062778,-0.0016855
4.547,-0.15977,0.059155,0.00031201,0.0071409,-0.0016029
4.458,-0.050149,0.065018,-0.00012842,0.006765,-0.0005329
4.4396,-0.16544,0.14391,0.00029897,0.0052608,-0.00022906
4.6473,-0.1629,0.061376,-0.0025118,0.0076668,-0.0020795
4.5465,-0.059566,0.061387,-0.0010115,0.0076751,-0.00018441
4.5351,-0.19721,0.13978,0.00064371,0.0069187,-4.87e-05
4.4589,0.048824,0.066728,-0.00088213,0.007071,5.2157e-05
4.4373,-0.060505,0.14646,-0.00029019,0.007068,0.00018775
4.4388,-0.1676,0.24676,0.00033897,0.0065769,-0.00019867
4.7485,-0.16461,0.062711,-0.0054946,0.0078186,-0.0022828
4.6473,-0.062564,0.063843,-0.0038614,0.0083365,-0.0001603
4.6435,-0.20031,0.14288,-0.0005743,0.0067785,-0.00012701
4.548,0.045377,0.065122,-0.0024925,0.008709,0.00029989
4.5314,-0.081154,0.14175,-0.00030376,0.0083966,0.00037739
4.5335,-0.20072,0.24608,0.0012389,0.008558,-7.6196e-05
4.4594,0.14935,0.067264,-0.0014269,0.0085758,0.00024996
4.4394,0.045748,0.14873,-0.0010793,0.0074737,0.00073033
4.4362,-0.063017,0.24687,-0.00011571,0.0083539,0.00024749
4.4387,-0.16825,0.3482,0.00033281,0.0069556,9.2497e-05
4.8496,-0.16546,0.063376,-0.0092156,0.007088,-0.0017632
4.7486,-0.064059,0.065046,-0.0068034,0.008337,0.00015958
4.7472,-0.20102,0.14489,-0.0012506,0.0063903,-0.00012696
4.6479,0.043342,0.068184,-0.0053258,0.0096049,0.00042256
4.6417,-0.08749,0.14528,-0.0020086,0.009305,0.00069379
4.6422,-0.20535,0.24738,-0.00028062,0.0081606,-0.00014124
4.5488,0.148,0.066372,-0.0032908,0.010532,0.00051681
4.534,0.03758,0.14685,-0.0020239,0.0093672,0.00075544
4.5288,-0.087833,0.24569,0.00025044,0.0097249,0.0003725
4.5332,-0.20134,0.34835,0.0013781,0.0089787,0.00014211
4.4597,0.24987,0.067423,-0.001636,0.010212,0.00020706
4.4403,0.14846,0.14958,-0.0016778,0.0088559,0.00090835
4.4385,0.044193,0.24758,-0.00084061,0.0081172,0.00089045
4.4363,-0.063898,0.34817,-4.7924e-06,0.0087904,0.00045647
4.4387,-0.16855,0.44938,0.00036212,0.0071699,0.0001319
4.95,-0.16578,0.063646,-0.012713,0.0035873,-0.00056572
4.8495,-0.064772,0.065506,-0.009111,0.0072237,0.00021949
4.849,-0.20132,0.14594,-0.0021944,0.0059299,-4.3283e-07
4.7488,0.0422,0.069522,-0.0073534,0.0091666,0.00044843
4.7465,-0.089709,0.14734,-0.0040542,0.0096111,0.0010008
4.7464,-0.20628,0.24842,-0.00079014,0.0077116,-2.6533e-05
4.6483,0.14689,0.06981,-0.0059821,0.011184,0.00064385
4.6421,0.03235,0.15156,-0.0039801,0.01032,0.0008299
4.639,-0.098068,0.24726,-0.0012464,0.010212,0.00050214
4.6417,-0.20634,0.34899,-0.00014726,0.0083601,0.00013152
4.5492,0.24927,0.066714,-0.0035668,0.012087,0.00072732
4.5353,0.14514,0.14891,-0.0029605,0.010973,0.001012
4.531,0.032621,0.24745,-0.0016078,0.010104,0.0008986
4.5283,-0.089853,0.34812,0.00050868,0.010214,0.00048049
4.5331,-0.20155,0.44955,0.0014391,0.0091519,0.00019607
4.4599,0.35002,0.067467,-0.0016628,0.011763,0.00017593
4.4406,0.24956,0.14989,-0.0020176,0.010759,0.0010275
4.4395,0.1477,0.24802,-0.0016319,0.0092109,0.0012278
4.4386,0.043415,0.34834,-0.00072149,0.0084467,0.0011741
4.4363,-0.06429,0.4493,6.5086e-05,0.0090407,0.00051828
4.4387,-0.16865,0.54992,0.00039738,0.0073578,0.00014027
5.05,-0.16586,0.063726,-0.013853,-0.0073393,0.0012714
4.9499,-0.065042,0.065669,-0.010155,0.0038031,0.0002988
4.9498,-0.20145,0.1464,-0.003731,0.0052354,0.00021334
4.8495,0.041651,0.069974,-0.0082755,0.0066764,0.00022176
4.8486,-0.090646,0.14827,-0.0061693,0.0088802,0.0010169
4.8487,-0.20661,0.24905,-0.0013884,0.0069687,0.00013135
4.749,0.14618,0.071289,-0.0072876,0.01001,0.00048974
4.7463,0.02958,0.15407,-0.0057362,0.010074,0.00081292
4.7448,-0.10182,0.24862,-0.0028163,0.010373,0.00076024
4.746,-0.20747,0.34955,-0.00057237,0.0079564,0.00020822
4.6485,0.2487,0.070292,-0.0060737,0.012009,0.00082729
4.6425,0.142,0.15445,-0.0049935,0.011738,0.00097252
4.6384,0.023286,0.24987,-0.0032574,0.010868,0.00094845
4.6379,-0.1019,0.34886,-0.00085984,0.01061,0.00059965
