"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,-0.00022661,0.0032279,-0.00065597
4.547,-0.15977,0.059155,-0.0012217,0.0030795,0.00036346
4.458,-0.050149,0.065018,-0.0015112,0.0039082,0.0010854
4.4396,-0.16544,0.14391,-0.00036492,0.002218,8.1443e-05
4.6473,-0.1629,0.061376,-0.0050554,0.0032169,0.00084399
4.5465,-0.059566,0.061387,-0.0042801,0.0031116,0.0024285
4.5351,-0.19721,0.13978,-0.00050092,0.0028876,0.00053124
4.4589,0.048824,0.066728,-0.0029369,0.0045012,0.0019717
4.4373,-0.060505,0.14646,-0.0018722,0.0041677,0.0020974
4.4388,-0.1676,0.24676,-0.00043414,0.002954,0.0003962
4.7485,-0.16461,0.062711,-0.0068985,0.001543,0.0017361
4.6473,-0.062564,0.063843,-0.0077419,0.00022429,0.0032102
4.6435,-0.20031,0.14288,-0.001782,0.002844,0.00082992
4.548,0.045377,0.065122,-0.0068018,0.0015334,0.0033735
4.5314,-0.081154,0.14175,-0.0032466,0.0039553,0.0029882
4.5335,-0.20072,0.24608,-0.00016472,0.0037171,0.0009025
4.4594,0.14935,0.067264,-0.0037821,0.0063288,0.0019906
4.4394,0.045748,0.14873,-0.003594,0.0037561,0.0029917
4.4362,-0.063017,0.24687,-0.001639,0.005473,0.0038154
4.4387,-0.16825,0.3482,-0.00045201,0.0037904,0.00064754
4.8496,-0.16546,0.063376,-0.0078014,-0.0033322,0.0026764
4.7486,-0.064059,0.065046,-0.0086139,-0.0045174,0.0032414
4.7472,-0.20102,0.14489,-0.002701,0.0018173,0.0011275
4.6479,0.043342,0.068184,-0.0084956,-0.0046659,0.0033813
4.6417,-0.08749,0.14528,-0.005646,0.0027518,0.0039518
4.6422,-0.20535,0.24738,-0.0010114,0.0032927,0.0011162
4.5488,0.148,0.066372,-0.00669,-0.0006351,0.0028672
4.534,0.03758,0.14685,-0.0058235,0.0032649,0.0046069
4.5288,-0.087833,0.24569,-0.0023326,0.0054084,0.0042933
4.5332,-0.20134,0.34835,0.0001756,0.0047593,0.0011434
4.4597,0.24987,0.067423,-0.0038168,0.0081382,0.0018427
4.4403,0.14846,0.14958,-0.0043611,0.006173,0.0034331
4.4385,0.044193,0.24758,-0.0031747,0.0053705,0.0061003
4.4363,-0.063898,0.34817,-0.0012129,0.0068639,0.0045955
4.4387,-0.16855,0.44938,-0.00045513,0.0045449,0.00065254
4.95,-0.16578,0.063646,-0.0078526,-0.011301,0.0032968
4.8495,-0.064772,0.065506,-0.0078366,-0.0098973,0.0031609
4.849,-0.20132,0.14594,-0.0043552,-0.00064683,0.0023098
4.7488,0.0422,0.069522,-0.0080878,-0.011091,0.0027761
4.7465,-0.089709,0.14734,-0.006655,0.0003089,0.0045556
4.7464,-0.20628,0.24842,-0.0015014,0.002637,0.0015271
4.6483,0.14689,0.06981,-0.0077605,-0.010027,0.0025047
4.6421,0.03235,0.15156,-0.0073788,-2.2894e-05,0.0053151
4.639,-0.098068,0.24726,-0.0040835,0.0047627,0.0051383
4.6417,-0.20634,0.34899,-0.00062507,0.0043793,0.0012551
4.5492,0.24927,0.066714,-0.0060491,-0.0034242,0.0024062
4.5353,0.14514,0.14891,-0.0062932,0.0023755,0.0051848
4.531,0.032621,0.24745,-0.0044113,0.0053977,0.0067602
4.5283,-0.089853,0.34812,-0.0014022,0.0069412,0.0048411
4.5331,-0.20155,0.44955,0.00041667,0.0056516,0.0011309
4.4599,0.35002,0.067467,-0.0036309,0.0095455,0.0017012
4.4406,0.24956,0.14989,-0.0042681,0.0082293,0.0035417
4.4395,0.1477,0.24802,-0.0040412,0.0074267,0.0072157
4.4386,0.043415,0.34834,-0.0022315,0.0067057,0.0076515
4.4363,-0.06429,0.4493,-0.00092025,0.0082654,0.0045087
4.4387,-0.16865,0.54992,-0.00044242,0.0052057,0.00059235
5.05,-0.16586,0.063726,-0.0065997,-0.01749,0.0038654
4.9499,-0.065042,0.065669,-0.0060008,-0.015963,0.0030775
4.9498,-0.20145,0.1464,-0.0047439,-0.006465,0.0037111
4.8495,0.041651,0.069974,-0.0070645,-0.016866,0.0020504
4.8486,-0.090646,0.14827,-0.0063959,-0.0033996,0.0049839
4.8487,-0.20661,0.24905,-0.0019138,0.0015395,0.0021014
4.749,0.14618,0.071289,-0.007616,-0.015629,0.0016411
4.7463,0.02958,0.15407,-0.0070635,-0.0040867,0.0054328
4.7448,-0.10182,0.24862,-0.0050582,0.0033508,0.00597
4.746,-0.20747,0.34955,-0.00091739,0.003801,0.0014432
4.6485,0.2487,0.070292,-0.007428,-0.013445,0.002041
4.6425,0.142,0.15445,-0.0069311,-0.0039741,0.0053425
4.6384,0.023286,0.24987,-0.0057541,0.003942,0.0075454
4.6379,-0.1019,0.34886,-0.002843,0.0066035,0.0053655
4.6414,-0.20667,0.44988,-0.00038656,0.005332,0.001171
4.5493,0.34975,0.066802,-0.0059369,-0.0060509,0.002533
4.5357,0.24803,0.14959,-0.0056903,-2.7078e-05,0.0050526
4.5323,0.14238,0.24861,-0.0050947,0.0057647,0.0082534
4.5302,0.030098,0.34857,-0.0030777,0.0072107,0.0077001
4.5281,-0.090622,0.44936,-0.00070979,0.0082801,0.0046929
4.533,-0.20164,0.55002,0.00062373,0.0064219,0.0010053
4.46,0.45002,0.067475,-0.0033379,0.010725,0.0015563
4.4407,0.34989,0.15,-0.0038917,0.0093997,0.0034305
4.4398,0.24919,0.24825,-0.00412,0.0095237,0.0077661
4.4397,0.14721,0.34851,-0.0030753,0.0086894,0.0095542
4.4387,0.043034,0.44929,-0.0014519,0.0079141,0.0080185
4.4363,-0.064448,0.54984,-0.00057555,0.0094599,0.003857
4.4387,-0.16868,0.65006,-0.00027084,0.0057201,0.00050027
5.15,-0.16586,0.063739,-0.0045798,-0.022291,0.0045882
5.05,-0.065111,0.065721,-0.0035591,-0.022673,0.0028384
5.05,-0.2015,0.14654,-0.0038043,-0.014029,0.0053774
4.9498,0.041432,0.07012,-0.0052759,-0.022817,0.0013939
4.9495,-0.091055,0.14864,-0.0049168,-0.0090783,0.0049224
4.9496,-0.20676,0.24936,-0.0027385,-0.00094808,0.0040581
4.8495,0.14581,0.07178,-0.0069861,-0.021196,0.00072652
4.8484,0.028276,0.1551,-0.0059436,-0.00878,0.0051617
4.8477,-0.10331,0.24941,-0.0052262,0.0011445,0.006634
4.8485,-0.20791,0.34992,-0.0012063,0.0029721,0.0017984
4.749,0.2483,0.071841,-0.0078698,-0.019186,0.0010398
4.7463,0.13989,0.15737,-0.0062499,-0.0090491,0.005001
4.7438,0.017847,0.2518,-0.0059709,0.0016916,0.0080655
4.7439,-0.10691,0.34963,-0.0038118,0.0056787,0.0060248
4.7458,-0.20792,0.45017,-0.00063163,0.0048334,0.0012826
4.6486,0.34947,0.070427,-0.0075642,-0.016288,0.0020304
4.6427,0.24626,0.15549,-0.0063337,-0.0087154,0.0048416
4.6384,0.13641,0.2518,-0.005817,0.0027559,0.0088183
4.6365,0.017926,0.34971,-0.0043739,0.0065887,0.0082324
4.6375,-0.10336,0.44973,-0.0019186,0.0081407,0.0049968
4.6413,-0.20682,0.55017,-0.00020221,0.0061597,0.0010014
4.5494,0.4499,0.066825,-0.0057887,-0.0086609,0.0027066
4.5359,0.34914,0.14982,-0.0052148,-0.0030285,0.0047332
