"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00047577,0.0096578,-0.0031723
4.547,-0.15977,0.059155,-0.0020622,0.010088,-0.0022425
4.458,-0.050149,0.065018,-0.0013084,0.011549,-0.00094868
4.4396,-0.16544,0.14391,-5.6427e-05,0.0066654,8.4461e-05
4.6473,-0.1629,0.061376,-0.0093202,0.0086374,-0.00023231
4.5465,-0.059566,0.061387,-0.005242,0.011532,0.00097751
4.5351,-0.19721,0.13978,6.9755e-05,0.0083001,0.00026901
4.4589,0.048824,0.066728,-0.0027361,0.013105,0.00040821
4.4373,-0.060505,0.14646,-0.0016124,0.010063,0.001399
4.4388,-0.1676,0.24676,4.7215e-05,0.007853,9.5799e-05
4.7485,-0.16461,0.062711,-0.014242,0.004805,0.00064334
4.6473,-0.062564,0.063843,-0.01069,0.0083154,0.0025248
4.6435,-0.20031,0.14288,-0.0021686,0.0077098,0.00035412
4.548,0.045377,0.065122,-0.0062825,0.01172,0.0025335
4.5314,-0.081154,0.14175,-0.00282,0.01161,0.0020049
4.5335,-0.20072,0.24608,0.00099308,0.0098174,0.00043045
4.4594,0.14935,0.067264,-0.0030493,0.014355,0.0011822
4.4394,0.045748,0.14873,-0.0030009,0.012529,0.0027067
4.4362,-0.063017,0.24687,-0.00096332,0.011167,0.0014325
4.4387,-0.16825,0.3482,0.00023318,0.008128,0.00038113
4.8496,-0.16546,0.063376,-0.015296,-0.005269,0.0025094
4.7486,-0.064059,0.065046,-0.012137,0.0024605,0.0032026
4.7472,-0.20102,0.14489,-0.0039772,0.0066613,0.00070475
4.6479,0.043342,0.068184,-0.0087046,0.0047075,0.0031189
4.6417,-0.08749,0.14528,-0.006714,0.01139,0.0034383
4.6422,-0.20535,0.24738,-0.00095548,0.0089453,0.00076782
4.5488,0.148,0.066372,-0.0050721,0.010389,0.0030206
4.534,0.03758,0.14685,-0.0050604,0.01302,0.0035828
4.5288,-0.087833,0.24569,-0.0010143,0.012264,0.0020921
4.5332,-0.20134,0.34835,0.0014189,0.01017,0.00059185
4.4597,0.24987,0.067423,-0.002837,0.014721,0.0017658
4.4403,0.14846,0.14958,-0.0034274,0.014475,0.0030548
4.4385,0.044193,0.24758,-0.0021636,0.012929,0.0037742
4.4363,-0.063898,0.34817,-0.00039963,0.010934,0.0013546
4.4387,-0.16855,0.44938,0.00047229,0.0082608,0.00030849
4.95,-0.16578,0.063646,-0.015353,-0.014471,0.0040183
4.8495,-0.064772,0.065506,-0.011144,-0.0053655,0.0037638
4.849,-0.20132,0.14594,-0.0046225,0.0026442,0.0014749
4.7488,0.0422,0.069522,-0.006811,-0.0062006,0.0034248
4.7465,-0.089709,0.14734,-0.0087456,0.0090137,0.0047002
4.7464,-0.20628,0.24842,-0.0017,0.008052,0.0013904
4.6483,0.14689,0.06981,-0.0041321,-0.0012857,0.0034183
4.6421,0.03235,0.15156,-0.0072194,0.010442,0.004884
4.639,-0.098068,0.24726,-0.0035822,0.012531,0.0034128
4.6417,-0.20634,0.34899,-0.00033798,0.0093952,0.00075146
4.5492,0.24927,0.066714,-0.0035757,0.0058221,0.0031619
4.5353,0.14514,0.14891,-0.0046881,0.013176,0.0045593
4.531,0.032621,0.24745,-0.0032498,0.014065,0.0045217
4.5283,-0.089853,0.34812,5.2213e-05,0.012076,0.0017619
4.5331,-0.20155,0.44955,0.0016866,0.010346,0.00048254
4.4599,0.35002,0.067467,-0.0024581,0.013937,0.0021461
4.4406,0.24956,0.14989,-0.0030766,0.015714,0.003539
4.4395,0.1477,0.24802,-0.0027531,0.015114,0.0053424
4.4386,0.043415,0.34834,-0.0012466,0.012567,0.0038319
4.4363,-0.06429,0.4493,6.8895e-05,0.010384,0.00096378
4.4387,-0.16865,0.54992,0.00057343,0.0084391,0.00019628
5.05,-0.16586,0.063726,-0.013974,-0.021446,0.0040448
4.9499,-0.065042,0.065669,-0.010815,-0.015355,0.0031534
4.9498,-0.20145,0.1464,-0.0085799,-0.0062845,0.0062137
4.8495,0.041651,0.069974,-0.0071713,-0.015272,0.0024561
4.8486,-0.090646,0.14827,-0.0086536,0.0032987,0.005977
4.8487,-0.20661,0.24905,-0.0022227,0.0061049,0.00222
4.749,0.14618,0.071289,-0.0044757,-0.011471,0.0028902
4.7463,0.02958,0.15407,-0.0065293,0.0046167,0.0061546
4.7448,-0.10182,0.24862,-0.005487,0.011918,0.005455
4.746,-0.20747,0.34955,-0.00080156,0.0088865,0.001173
4.6485,0.2487,0.070292,-0.0027947,-0.0084973,0.0033179
4.6425,0.142,0.15445,-0.004364,0.0072607,0.005994
4.6384,0.023286,0.24987,-0.0050837,0.013554,0.0059156
4.6379,-0.1019,0.34886,-0.0016472,0.012426,0.0025835
4.6414,-0.20667,0.44988,-4.8719e-06,0.0096303,0.00054361
4.5493,0.34975,0.066802,-0.002275,-0.0019878,0.002546
4.5357,0.24803,0.14959,-0.0032582,0.011546,0.0058137
4.5323,0.14238,0.24861,-0.0034232,0.01541,0.005995
4.5302,0.030098,0.34857,-0.0018394,0.014018,0.0042196
